problem_id,problem_name,solved,accepted
1000,Greetings from LightOJ,15030 / 17107,27153 / 64761
1001,Opposite Task,10760 / 12183,18074 / 43079
1006,Hex-a-bonacci,5726 / 7868,9963 / 39892
1008,Fibsieve`s Fantabulous Birthday,4239 / 4963,6931 / 17319
1010,Knights in Chessboard,3473 / 4707,5435 / 22242
1015,Brush (I),6110 / 6818,10269 / 32231
1022,Circle in Square,7054 / 7619,14484 / 35530
1042,Secret Origins,2345 / 3317,3605 / 11652
1045,Digits of Factorial,3082 / 3306,5771 / 12605
1053,Higher Math,5485 / 5743,10557 / 22428
1069,Lift,5483 / 5662,10037 / 18605
1072,Calm Down,3460 / 3554,5512 / 8417
1107,How Cow,4962 / 5120,8739 / 17333
1109,False Ordering,2924 / 2997,5278 / 7593
1113,Discover the Web,2815 / 3032,5027 / 12729
1116,Ekka Dokka,3796 / 4254,6698 / 18625
1133,Array Simulation,2701 / 2840,4161 / 10112
1136,Division by 3,2751 / 3209,4737 / 13119
1182,Parity,4110 / 4311,7037 / 12761
1189,Sum of Factorials,1838 / 1960,2894 / 7551
1202,Bishops,2330 / 2445,3580 / 7434
1211,Intersection of Cubes,1513 / 1554,2322 / 4125
1212,Double Ended Queue,2508 / 2659,4890 / 12390
1214,Large Division,2788 / 3053,7761 / 18824
1216,Juice in the Glass,2448 / 2532,4244 / 8149
1225,Palindromic Numbers (II),3671 / 3892,6292 / 14407
1227,Boiled Eggs,2669 / 2781,4208 / 8391
1241,Pinocchio,1775 / 2040,2392 / 6642
1249,Chocolate Thief,2093 / 2203,2998 / 6130
1261,K-SAT Problem,972 / 1059,1448 / 3203
1294,Positive Negative Sign,3499 / 3794,7187 / 17907
1305,Area of a Parallelogram,3025 / 3167,5488 / 10597
1311,Unlucky Bird,1884 / 2014,2999 / 7477
1331,Agent J,2231 / 2326,3888 / 7672
1338,Hidden Secret!,2203 / 2311,3644 / 7964
1354,IP Checking,3239 / 3326,5605 / 8672
1387,Setu,3151 / 3269,4825 / 8815
1414,February 29,1593 / 1904,2760 / 8850
1433,Minimum Arc Distance,2544 / 2655,4550 / 8008
