problem_id,problem_name,solved,accepted
1009,Back to Underworld,2456 / 2857,4418 / 13774
1012,Guilty Prince,3346 / 3405,6969 / 10489
1039,A Toy Company,838 / 876,1256 / 2572
1046,Rider,798 / 829,1318 / 2456
1049,One Way Roads,1273 / 1318,2098 / 3222
1055,Going Together,383 / 480,727 / 2266
1066,Gathering Food,1129 / 1221,1935 / 4818
1094,Farthest Nodes in a Tree,1814 / 1884,3790 / 7601
1111,Best Picnic Ever,1505 / 1564,2853 / 6515
1115,Filling the Regions,180 / 202,362 / 782
1141,Number Transformation,1280 / 1383,2640 / 8201
1165,Digit Dancing,148 / 186,278 / 1056
1174,Commandos,1710 / 1771,2915 / 5196
1175,Jane and the Frost Giants,790 / 852,1466 / 4832
1185,Escape,442 / 488,683 / 1780
1238,Power Puff Girls,1585 / 1618,2823 / 5047
1257,Farthest Nodes in a Tree (II),1130 / 1235,2006 / 4761
1263,Equalizing Money,896 / 922,1452 / 3258
1271,Better Tour,447 / 480,740 / 2129
1337,The Crystal Maze,1195 / 1311,2149 / 8194
1353,Paths in a Tree,79 / 175,128 / 576
1357,Corrupted Friendship,353 / 383,651 / 1408
1368,Truchet Tiling,63 / 73,105 / 260
1377,Blade and Sword,258 / 316,478 / 2104
1412,Visiting Islands,245 / 288,514 / 1926
1426,Blind Escape,64 / 74,204 / 567
1434,Patch Quilt,192 / 222,322 / 1173
