problem_id,problem_name,solved,accepted
1008,Fibsieve`s Fantabulous Birthday,4239 / 4963,6931 / 17319
1010,Knights in Chessboard,3473 / 4707,5435 / 22242
1020,A Childhood Game,1709 / 1970,2533 / 5839
1078,Integer Divisibility,1486 / 1629,2759 / 5679
1116,Ekka Dokka,3796 / 4254,6698 / 18625
1148,Mad Counting,946 / 1031,1581 / 3514
1179,Josephus Problem,768 / 808,1256 / 1812
1214,Large Division,2788 / 3053,7761 / 18824
1275,Internet Service Providers,696 / 737,1119 / 2311
1294,Positive Negative Sign,3499 / 3794,7187 / 17907
1297,Largest Box,779 / 792,1304 / 1957
1311,Unlucky Bird,1884 / 2014,2999 / 7477
1323,Billiard Balls,127 / 132,216 / 325
1349,Aladdin and the Optimal Invitation,286 / 326,634 / 1693
1354,IP Checking,3239 / 3326,5605 / 8672
1369,Answering Queries,569 / 618,1073 / 3205
1410,Consistent Verdicts,238 / 244,599 / 1376
1414,February 29,1593 / 1904,2760 / 8850
1430,A Question of Time,50 / 51,108 / 250
