problem_id,problem_name,solved,accepted
1043,Triangle Partitioning,2851 / 2889,5644 / 8221
1048,Conquering Keokradong,898 / 1049,1727 / 5222
1056,Olympics,1131 / 1153,2125 / 3437
1062,Crossed Ladders,1241 / 1256,2337 / 3469
1072,Calm Down,3460 / 3554,5512 / 8417
1076,Get the Containers,1170 / 1250,2087 / 4510
1088,Points in Segments,1855 / 2045,4505 / 13810
1127,Funny Knapsack,615 / 663,1058 / 2917
1137,Expanding Rods,632 / 664,1285 / 3062
1138,Trailing Zeroes (III),1701 / 1807,5404 / 11865
1170,Counting Perfect BST,563 / 588,1050 / 2996
1196,Inhabitants,98 / 119,185 / 626
1235,Coin Change (IV),657 / 747,1219 / 4710
1276,Very Lucky Numbers,335 / 361,601 / 1385
1280,Best Grade,149 / 198,304 / 939
1307,Counting Triangles,1102 / 1148,2385 / 4268
1358,Fukushima Nuclear Blast,66 / 74,121 / 360
1383,Underwater Snipers,165 / 183,384 / 1149
1384,Stream My Contest,104 / 121,174 / 463
1391,Speed Zones,82 / 129,172 / 621
