problem_id,problem_name,solved,accepted
1149,Factors and Multiples,718 / 758,1464 / 2834
1150,Ghosts!,305 / 322,566 / 1226
1152,Hiding Gold,403 / 416,734 / 1290
1184,Marriage Media,544 / 555,1014 / 1813
1201,A Perfect Murder,642 / 693,1172 / 2685
1206,Scheduling Taxi Cabs,222 / 227,354 / 802
1209,Strange Voting,249 / 261,384 / 979
1218,Multiple Free Subset,120 / 133,165 / 434
1242,Similar Trees (II),71 / 101,109 / 426
1304,The Best Contest Site Ever,98 / 108,184 / 506
1373,Strongly Connected Chemicals,113 / 135,198 / 628
1403,Air Raid,304 / 311,610 / 1053
1429,Assassin`s Creed (II),196 / 264,399 / 1735
