problem_id,problem_name,solved,accepted
1005,Rooks,2377 / 2528,4336 / 10214
1058,Parallelogram Counting,579 / 664,1158 / 3420
1067,Combinations,1687 / 1984,3783 / 11470
1095,Arrange the Numbers,641 / 661,1205 / 2517
1102,Problem Makes Problem,777 / 805,1380 / 3170
1140,How Many Zeroes?,878 / 908,1905 / 2895
1170,Counting Perfect BST,563 / 588,1050 / 2996
1173,The Vindictive Coach,279 / 287,484 / 933
1226,One Unit Machine,367 / 372,751 / 1136
1246,Colorful Board,194 / 205,392 / 981
1299,Fantasy Cricket,154 / 162,303 / 487
1318,Strange Game,118 / 123,218 / 563
1322,Worst Case Trie,170 / 181,304 / 929
1326,Race,788 / 812,1331 / 2361
1333,Grid Coloring,232 / 254,420 / 1499
1352,Strange Summation,84 / 86,136 / 325
1365,ICPC Guards,58 / 61,79 / 166
1366,Pair of Touching Circles,123 / 132,224 / 483
1371,Energetic Pandas,258 / 261,446 / 652
1382,The Queue,371 / 384,743 / 1545
1419,Necklace,285 / 294,517 / 857
