problem_id,problem_name,solved,accepted
1016,Brush (II),1350 / 1433,2071 / 4211
1048,Conquering Keokradong,898 / 1049,1727 / 5222
1076,Get the Containers,1170 / 1250,2087 / 4510
1166,Old Sorting,1505 / 1579,2590 / 4721
1198,Karate Competition,861 / 911,1356 / 2624
1219,Mafia,205 / 213,291 / 479
1301,Monitoring Processes,482 / 546,820 / 1957
1328,A Gift from the Setter,440 / 469,713 / 1596
1363,Binary Matrix (II),55 / 71,101 / 232
1374,Confusion in the Problemset,555 / 576,807 / 1744
1383,Underwater Snipers,165 / 183,384 / 1149
1389,Scarecrow,1117 / 1163,1956 / 3619
1396,Palindromic Numbers (III),323 / 424,553 / 2032
1425,The Monkey and the Oiled Bamboo,819 / 866,1409 / 2802
