problem_id,problem_name,solved,accepted
1052,String Growth,289 / 344,534 / 2152
1065,Number Sequence,892 / 945,1589 / 3488
1070,Algebraic Problem,586 / 682,1208 / 3208
1096,nth Term,830 / 874,1317 / 2519
1131,Just Two Functions,607 / 630,1043 / 2256
1132,Summing up Powers,394 / 446,1001 / 3087
1142,Summing up Powers (II),290 / 304,607 / 1096
1160,Discovering Paths in Grid,153 / 157,292 / 476
1172,Krypton Number System,51 / 55,114 / 290
1244,Tiles,376 / 379,677 / 939
1268,Unlucky Strings,233 / 250,539 / 1218
1332,Kings in Chessboard,178 / 182,332 / 606
1376,Tetromino,15 / 16,16 / 238
