problem_id,problem_name,solved,accepted
1153,Internet Bandwidth,862 / 887,1796 / 3396
1154,Penguins,352 / 374,743 / 2054
1155,Power Transmission,571 / 611,1059 / 2465
1156,Jumping Frogs,296 / 304,581 / 1113
1167,Dangerous Tunnels,172 / 178,333 / 1003
1176,Getting a T-shirt,461 / 475,753 / 1291
1177,Angry Programmer,366 / 382,656 / 1393
1262,Diagonal Sum,165 / 172,361 / 1050
1286,Space Shuttle Experiments,170 / 173,272 / 384
1330,Binary Matrix,136 / 176,331 / 1364
1350,Aladdin and the Grand Feast,38 / 60,70 / 629
1361,Component Placement,89 / 90,132 / 236
1367,Pizza and Inner Peace,66 / 73,123 / 280
1398,Winger Trial,89 / 95,187 / 376
1405,The Great Escape,201 / 210,407 / 980
