problem_id,problem_name,solved,accepted
1007,Mathematically Hard,1920 / 2211,4065 / 17594
1014,Ifter Party,1871 / 2090,3459 / 12730
1024,Eid,853 / 1333,1764 / 8082
1028,Trailing Zeroes (I),1574 / 1775,3749 / 14841
1035,Intelligent Factorial Factorization,1765 / 1804,4082 / 7314
1045,Digits of Factorial,3080 / 3305,5769 / 12603
1054,Efficient Pseudo Code,1065 / 1255,2264 / 8104
1067,Combinations,1687 / 1984,3782 / 11469
1077,How Many Points?,1082 / 1136,2139 / 5801
1090,Trailing Zeroes (II),1150 / 1201,2132 / 4032
1098,A New Function,773 / 820,1450 / 2516
1109,False Ordering,2923 / 2996,5276 / 7591
1138,Trailing Zeroes (III),1700 / 1806,5403 / 11864
1163,Bank Robbery,633 / 659,1086 / 2339
1197,Help Hanzo,840 / 951,3156 / 11508
1213,Fantasy of a Summation,660 / 676,2011 / 3477
1214,Large Division,2788 / 3053,7760 / 18820
1215,Finding LCM,1015 / 1159,2148 / 6331
1220,Mysterious Bacteria,763 / 807,2745 / 11028
1234,Harmonic Number,942 / 1067,3638 / 8753
1236,Pairs Forming LCM,569 / 621,2883 / 9777
1245,Harmonic Number (II),706 / 735,2874 / 4303
1259,Goldbach`s Conjecture,1288 / 1420,5187 / 20266
1278,Sum of Consecutive Integers,556 / 649,1167 / 4343
1282,Leading and Trailing,681 / 711,3589 / 8769
1289,LCM from 1 to n,568 / 715,1597 / 7882
1298,"One Theorem, One Year",288 / 293,570 / 1007
1318,Strange Game,118 / 123,218 / 563
1333,Grid Coloring,232 / 254,420 / 1499
1336,Sigma Function,484 / 497,2361 / 4191
1340,Story of Tomisu Ghost,274 / 278,497 / 730
1341,Aladdin and the Flying Carpet,472 / 560,4019 / 16500
1356,Prime Independence,218 / 254,1090 / 4234
1370,Bi-shoe and Phi-shoe,499 / 536,4756 / 14604
1375,LCM Extreme,204 / 217,436 / 1025
1399,Politeness,48 / 68,106 / 606
