problem_id,problem_name,solved,accepted
1080,Binary Simulation,1988 / 2203,4034 / 11010
1082,Array Queries,3179 / 3424,7351 / 18690
1083,Histogram,1387 / 1499,2959 / 5674
1085,All Possible Increasing Subsequences,1104 / 1165,2037 / 5228
1087,Diablo,1123 / 1274,2338 / 6900
1089,Points in Segments (II),934 / 1034,1831 / 5603
1093,Ghajini,1440 / 1500,2757 / 5084
1097,Lucky Number,622 / 660,1149 / 1876
1103,Castle Walls,278 / 296,465 / 1003
1112,Curious Robin Hood,2555 / 2707,5520 / 14038
1120,Rectangle Union,282 / 308,649 / 1779
1135,Count the Multiples of 3,873 / 955,1733 / 4226
1164,Horrible Queries,1478 / 1562,3003 / 9291
1183,Computing Fast Average,880 / 926,1558 / 3822
1187,Lining up Students,511 / 551,983 / 1706
1188,Fast Queries,829 / 896,1984 / 5180
1204,Weird Advertisement,86 / 97,189 / 612
1207,Posters for Election,662 / 708,1181 / 2567
1339,Strongest Community,505 / 538,951 / 2247
1348,Aladdin and the Return Journey,608 / 686,1968 / 6750
1411,Rip Van Winkle`s Code,166 / 211,386 / 1830
1415,Save the Trees,142 / 189,264 / 985
1424,New Land,398 / 414,746 / 1431
