problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Greetings from LightOJ,1000,1.50,8.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1000,15030,17107
Opposite Task,1001,1.55,8.45,lightoj,http://lightoj.com/volume_showproblem.php?problem=1001,10760,12183
Circle in Square,1022,1.60,8.40,lightoj,http://lightoj.com/volume_showproblem.php?problem=1022,7054,7619
Brush (I),1015,1.65,8.35,lightoj,http://lightoj.com/volume_showproblem.php?problem=1015,6110,6818
Hex-a-bonacci,1006,1.71,8.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1006,5726,7868
Higher Math,1053,1.76,8.24,lightoj,http://lightoj.com/volume_showproblem.php?problem=1053,5485,5743
Lift,1069,1.81,8.19,lightoj,http://lightoj.com/volume_showproblem.php?problem=1069,5483,5662
How Cow,1107,1.86,8.14,lightoj,http://lightoj.com/volume_showproblem.php?problem=1107,4962,5120
Fibsieve`s Fantabulous Birthday,1008,1.91,8.09,lightoj,http://lightoj.com/volume_showproblem.php?problem=1008,4239,4963
Parity,1182,1.96,8.04,lightoj,http://lightoj.com/volume_showproblem.php?problem=1182,4110,4311
Ekka Dokka,1116,2.01,7.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1116,3796,4254
Palindromic Numbers (II),1225,2.06,7.94,lightoj,http://lightoj.com/volume_showproblem.php?problem=1225,3671,3892
Positive Negative Sign,1294,2.12,7.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1294,3499,3794
Knights in Chessboard,1010,2.17,7.83,lightoj,http://lightoj.com/volume_showproblem.php?problem=1010,3473,4707
Calm Down,1072,2.22,7.78,lightoj,http://lightoj.com/volume_showproblem.php?problem=1072,3460,3554
IP Checking,1354,2.27,7.73,lightoj,http://lightoj.com/volume_showproblem.php?problem=1354,3239,3326
Setu,1387,2.32,7.68,lightoj,http://lightoj.com/volume_showproblem.php?problem=1387,3151,3269
Digits of Factorial,1045,2.37,7.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1045,3082,3306
Area of a Parallelogram,1305,2.42,7.58,lightoj,http://lightoj.com/volume_showproblem.php?problem=1305,3025,3167
False Ordering,1109,2.47,7.53,lightoj,http://lightoj.com/volume_showproblem.php?problem=1109,2924,2997
Discover the Web,1113,2.53,7.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1113,2815,3032
Large Division,1214,2.58,7.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1214,2788,3053
Division by 3,1136,2.63,7.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1136,2751,3209
Array Simulation,1133,2.68,7.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1133,2701,2840
Boiled Eggs,1227,2.73,7.27,lightoj,http://lightoj.com/volume_showproblem.php?problem=1227,2669,2781
Minimum Arc Distance,1433,2.78,7.22,lightoj,http://lightoj.com/volume_showproblem.php?problem=1433,2544,2655
Double Ended Queue,1212,2.83,7.17,lightoj,http://lightoj.com/volume_showproblem.php?problem=1212,2508,2659
Juice in the Glass,1216,2.88,7.12,lightoj,http://lightoj.com/volume_showproblem.php?problem=1216,2448,2532
Secret Origins,1042,2.94,7.06,lightoj,http://lightoj.com/volume_showproblem.php?problem=1042,2345,3317
Bishops,1202,2.99,7.01,lightoj,http://lightoj.com/volume_showproblem.php?problem=1202,2330,2445
Agent J,1331,3.04,6.96,lightoj,http://lightoj.com/volume_showproblem.php?problem=1331,2231,2326
Hidden Secret!,1338,3.09,6.91,lightoj,http://lightoj.com/volume_showproblem.php?problem=1338,2203,2311
Chocolate Thief,1249,3.14,6.86,lightoj,http://lightoj.com/volume_showproblem.php?problem=1249,2093,2203
Unlucky Bird,1311,3.19,6.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1311,1884,2014
Sum of Factorials,1189,3.24,6.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1189,1838,1960
Pinocchio,1241,3.29,6.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1241,1775,2040
February 29,1414,3.35,6.65,lightoj,http://lightoj.com/volume_showproblem.php?problem=1414,1593,1904
Intersection of Cubes,1211,3.40,6.60,lightoj,http://lightoj.com/volume_showproblem.php?problem=1211,1513,1554
K-SAT Problem,1261,3.45,6.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1261,972,1059
