problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Calm Down,1072,2.75,7.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1072,3460,3554
Triangle Partitioning,1043,2.92,7.08,lightoj,http://lightoj.com/volume_showproblem.php?problem=1043,2851,2889
Points in Segments,1088,3.10,6.90,lightoj,http://lightoj.com/volume_showproblem.php?problem=1088,1855,2045
Trailing Zeroes (III),1138,3.27,6.73,lightoj,http://lightoj.com/volume_showproblem.php?problem=1138,1701,1807
Crossed Ladders,1062,3.45,6.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1062,1241,1256
Get the Containers,1076,3.62,6.38,lightoj,http://lightoj.com/volume_showproblem.php?problem=1076,1170,1250
Olympics,1056,3.80,6.20,lightoj,http://lightoj.com/volume_showproblem.php?problem=1056,1131,1153
Counting Triangles,1307,3.97,6.03,lightoj,http://lightoj.com/volume_showproblem.php?problem=1307,1102,1148
Conquering Keokradong,1048,4.15,5.85,lightoj,http://lightoj.com/volume_showproblem.php?problem=1048,898,1049
Coin Change (IV),1235,4.32,5.68,lightoj,http://lightoj.com/volume_showproblem.php?problem=1235,657,747
Expanding Rods,1137,4.50,5.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1137,632,664
Funny Knapsack,1127,4.67,5.33,lightoj,http://lightoj.com/volume_showproblem.php?problem=1127,615,663
Counting Perfect BST,1170,4.85,5.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1170,563,588
Very Lucky Numbers,1276,5.02,4.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1276,335,361
Underwater Snipers,1383,5.20,4.80,lightoj,http://lightoj.com/volume_showproblem.php?problem=1383,165,183
Best Grade,1280,5.37,4.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1280,149,198
Stream My Contest,1384,5.55,4.45,lightoj,http://lightoj.com/volume_showproblem.php?problem=1384,104,121
Inhabitants,1196,5.72,4.28,lightoj,http://lightoj.com/volume_showproblem.php?problem=1196,98,119
Speed Zones,1391,5.90,4.10,lightoj,http://lightoj.com/volume_showproblem.php?problem=1391,82,129
Fukushima Nuclear Blast,1358,6.07,3.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1358,66,74
