problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Rooks,1005,3.00,7.00,lightoj,http://lightoj.com/volume_showproblem.php?problem=1005,2377,2528
Combinations,1067,3.23,6.77,lightoj,http://lightoj.com/volume_showproblem.php?problem=1067,1687,1984
How Many Zeroes?,1140,3.45,6.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1140,878,908
Race,1326,3.68,6.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1326,788,812
Problem Makes Problem,1102,3.90,6.10,lightoj,http://lightoj.com/volume_showproblem.php?problem=1102,777,805
Arrange the Numbers,1095,4.13,5.87,lightoj,http://lightoj.com/volume_showproblem.php?problem=1095,641,661
Parallelogram Counting,1058,4.36,5.64,lightoj,http://lightoj.com/volume_showproblem.php?problem=1058,579,664
Counting Perfect BST,1170,4.58,5.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1170,563,588
The Queue,1382,4.81,5.19,lightoj,http://lightoj.com/volume_showproblem.php?problem=1382,371,384
One Unit Machine,1226,5.04,4.96,lightoj,http://lightoj.com/volume_showproblem.php?problem=1226,367,372
Necklace,1419,5.26,4.74,lightoj,http://lightoj.com/volume_showproblem.php?problem=1419,285,294
The Vindictive Coach,1173,5.49,4.51,lightoj,http://lightoj.com/volume_showproblem.php?problem=1173,279,287
Energetic Pandas,1371,5.71,4.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1371,258,261
Grid Coloring,1333,5.94,4.06,lightoj,http://lightoj.com/volume_showproblem.php?problem=1333,232,254
Colorful Board,1246,6.17,3.83,lightoj,http://lightoj.com/volume_showproblem.php?problem=1246,194,205
Worst Case Trie,1322,6.39,3.61,lightoj,http://lightoj.com/volume_showproblem.php?problem=1322,170,181
Fantasy Cricket,1299,6.62,3.38,lightoj,http://lightoj.com/volume_showproblem.php?problem=1299,154,162
Pair of Touching Circles,1366,6.85,3.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1366,123,132
Strange Game,1318,7.07,2.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1318,118,123
Strange Summation,1352,7.30,2.70,lightoj,http://lightoj.com/volume_showproblem.php?problem=1352,84,86
ICPC Guards,1365,7.52,2.48,lightoj,http://lightoj.com/volume_showproblem.php?problem=1365,58,61
