problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Country Roads,1002,4.65,5.35,lightoj,http://lightoj.com/volume_showproblem.php?problem=1002,2182,2410
Brush (V),1019,4.97,5.03,lightoj,http://lightoj.com/volume_showproblem.php?problem=1019,1784,1867
Commandos,1174,5.29,4.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1174,1710,1771
Not the Best,1099,5.61,4.39,lightoj,http://lightoj.com/volume_showproblem.php?problem=1099,850,971
New Traffic System,1281,5.93,4.07,lightoj,http://lightoj.com/volume_showproblem.php?problem=1281,552,634
Toll Management,1379,6.25,3.75,lightoj,http://lightoj.com/volume_showproblem.php?problem=1379,483,536
Prison Break,1254,6.57,3.43,lightoj,http://lightoj.com/volume_showproblem.php?problem=1254,292,321
Sending Packets,1321,6.89,3.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1321,264,272
A Wedding Party,1316,7.21,2.79,lightoj,http://lightoj.com/volume_showproblem.php?problem=1316,250,326
Dangerous Bull! Who Wants to Pull?,1208,7.53,2.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1208,72,90
