problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Monkey Banana Problem,1004,3.25,6.75,lightoj,http://lightoj.com/volume_showproblem.php?problem=1004,3221,3392
Rooks,1005,3.30,6.70,lightoj,http://lightoj.com/volume_showproblem.php?problem=1005,2377,2528
Neighbor House,1047,3.36,6.64,lightoj,http://lightoj.com/volume_showproblem.php?problem=1047,2066,2118
Marriage Ceremonies,1011,3.41,6.59,lightoj,http://lightoj.com/volume_showproblem.php?problem=1011,1861,2006
Coin Change (I),1231,3.47,6.53,lightoj,http://lightoj.com/volume_showproblem.php?problem=1231,1843,1950
Generating Palindromes,1033,3.52,6.48,lightoj,http://lightoj.com/volume_showproblem.php?problem=1033,1498,1518
Coin Change (II),1232,3.58,6.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1232,1380,1608
A Dangerous Maze,1027,3.63,6.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1027,1376,1412
Brush (III),1017,3.68,6.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1017,1271,1328
Love Calculator,1013,3.74,6.26,lightoj,http://lightoj.com/volume_showproblem.php?problem=1013,1253,1313
Digit Count,1122,3.79,6.21,lightoj,http://lightoj.com/volume_showproblem.php?problem=1122,1197,1219
The Specials Menu,1025,3.85,6.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1025,1164,1185
Discovering Gold,1030,3.90,6.10,lightoj,http://lightoj.com/volume_showproblem.php?problem=1030,1141,1202
Farthest Nodes in a Tree (II),1257,3.96,6.04,lightoj,http://lightoj.com/volume_showproblem.php?problem=1257,1130,1235
Race to 1 Again,1038,4.01,5.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1038,1010,1029
Palindrome Partitioning,1044,4.06,5.94,lightoj,http://lightoj.com/volume_showproblem.php?problem=1044,977,1021
Easy Game,1031,4.12,5.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1031,965,1006
An Easy LCS,1110,4.17,5.83,lightoj,http://lightoj.com/volume_showproblem.php?problem=1110,932,1064
Painful Bases,1021,4.23,5.77,lightoj,http://lightoj.com/volume_showproblem.php?problem=1021,930,959
Fast Bit Calculations,1032,4.28,5.72,lightoj,http://lightoj.com/volume_showproblem.php?problem=1032,913,928
Investigation,1068,4.33,5.67,lightoj,http://lightoj.com/volume_showproblem.php?problem=1068,903,981
Agent 47,1037,4.39,5.61,lightoj,http://lightoj.com/volume_showproblem.php?problem=1037,896,915
Pimp My Ride,1119,4.44,5.56,lightoj,http://lightoj.com/volume_showproblem.php?problem=1119,879,891
How Many Zeroes?,1140,4.50,5.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1140,876,906
Batman,1159,4.55,5.45,lightoj,http://lightoj.com/volume_showproblem.php?problem=1159,873,893
Race,1326,4.61,5.39,lightoj,http://lightoj.com/volume_showproblem.php?problem=1326,788,812
Good or Bad,1051,4.66,5.34,lightoj,http://lightoj.com/volume_showproblem.php?problem=1051,761,806
Brush (IV),1018,4.71,5.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1018,742,841
Neighbor House (II),1217,4.77,5.23,lightoj,http://lightoj.com/volume_showproblem.php?problem=1217,728,757
Collecting Gold,1057,4.82,5.18,lightoj,http://lightoj.com/volume_showproblem.php?problem=1057,707,741
Throwing Dice,1064,4.88,5.12,lightoj,http://lightoj.com/volume_showproblem.php?problem=1064,692,702
A Perfect Murder,1201,4.93,5.07,lightoj,http://lightoj.com/volume_showproblem.php?problem=1201,642,693
