problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Old Sorting,1166,2.25,7.75,lightoj,http://lightoj.com/volume_showproblem.php?problem=1166,1505,1579
Brush (II),1016,2.55,7.45,lightoj,http://lightoj.com/volume_showproblem.php?problem=1016,1350,1433
Get the Containers,1076,2.86,7.14,lightoj,http://lightoj.com/volume_showproblem.php?problem=1076,1170,1250
Scarecrow,1389,3.16,6.84,lightoj,http://lightoj.com/volume_showproblem.php?problem=1389,1117,1163
Conquering Keokradong,1048,3.46,6.54,lightoj,http://lightoj.com/volume_showproblem.php?problem=1048,898,1049
Karate Competition,1198,3.77,6.23,lightoj,http://lightoj.com/volume_showproblem.php?problem=1198,861,911
The Monkey and the Oiled Bamboo,1425,4.07,5.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1425,819,866
Confusion in the Problemset,1374,4.37,5.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1374,555,576
Monitoring Processes,1301,4.68,5.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1301,482,546
A Gift from the Setter,1328,4.98,5.02,lightoj,http://lightoj.com/volume_showproblem.php?problem=1328,440,469
Palindromic Numbers (III),1396,5.29,4.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1396,323,424
Mafia,1219,5.59,4.41,lightoj,http://lightoj.com/volume_showproblem.php?problem=1219,205,213
Underwater Snipers,1383,5.89,4.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1383,165,183
Binary Matrix (II),1363,6.20,3.80,lightoj,http://lightoj.com/volume_showproblem.php?problem=1363,55,71
