problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Number Sequence,1065,4.50,5.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1065,892,945
nth Term,1096,4.77,5.23,lightoj,http://lightoj.com/volume_showproblem.php?problem=1096,830,874
Just Two Functions,1131,5.04,4.96,lightoj,http://lightoj.com/volume_showproblem.php?problem=1131,607,630
Algebraic Problem,1070,5.31,4.69,lightoj,http://lightoj.com/volume_showproblem.php?problem=1070,586,682
Summing up Powers,1132,5.58,4.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1132,394,446
Tiles,1244,5.85,4.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1244,376,379
Summing up Powers (II),1142,6.12,3.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1142,290,304
String Growth,1052,6.38,3.62,lightoj,http://lightoj.com/volume_showproblem.php?problem=1052,289,344
Unlucky Strings,1268,6.65,3.35,lightoj,http://lightoj.com/volume_showproblem.php?problem=1268,233,250
Kings in Chessboard,1332,6.92,3.08,lightoj,http://lightoj.com/volume_showproblem.php?problem=1332,178,182
Discovering Paths in Grid,1160,7.19,2.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1160,153,157
Krypton Number System,1172,7.46,2.54,lightoj,http://lightoj.com/volume_showproblem.php?problem=1172,51,55
Tetromino,1376,7.73,2.27,lightoj,http://lightoj.com/volume_showproblem.php?problem=1376,15,16
