problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Internet Bandwidth,1153,4.60,5.40,lightoj,http://lightoj.com/volume_showproblem.php?problem=1153,862,887
Power Transmission,1155,4.89,5.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1155,571,611
Getting a T-shirt,1176,5.19,4.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1176,461,475
Angry Programmer,1177,5.48,4.52,lightoj,http://lightoj.com/volume_showproblem.php?problem=1177,366,382
Penguins,1154,5.77,4.23,lightoj,http://lightoj.com/volume_showproblem.php?problem=1154,352,374
Jumping Frogs,1156,6.07,3.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1156,296,304
The Great Escape,1405,6.36,3.64,lightoj,http://lightoj.com/volume_showproblem.php?problem=1405,201,210
Dangerous Tunnels,1167,6.65,3.35,lightoj,http://lightoj.com/volume_showproblem.php?problem=1167,172,178
Space Shuttle Experiments,1286,6.95,3.05,lightoj,http://lightoj.com/volume_showproblem.php?problem=1286,170,173
Diagonal Sum,1262,7.24,2.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1262,165,172
Binary Matrix,1330,7.53,2.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1330,136,176
Winger Trial,1398,7.83,2.17,lightoj,http://lightoj.com/volume_showproblem.php?problem=1398,89,95
Component Placement,1361,8.12,1.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1361,89,90
Pizza and Inner Peace,1367,8.41,1.59,lightoj,http://lightoj.com/volume_showproblem.php?problem=1367,66,73
Aladdin and the Grand Feast,1350,8.71,1.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1350,38,60
