problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Digits of Factorial,1045,2.50,7.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1045,3080,3305
False Ordering,1109,2.67,7.33,lightoj,http://lightoj.com/volume_showproblem.php?problem=1109,2923,2996
Large Division,1214,2.84,7.16,lightoj,http://lightoj.com/volume_showproblem.php?problem=1214,2788,3053
Mathematically Hard,1007,3.00,7.00,lightoj,http://lightoj.com/volume_showproblem.php?problem=1007,1920,2211
Ifter Party,1014,3.17,6.83,lightoj,http://lightoj.com/volume_showproblem.php?problem=1014,1871,2090
Intelligent Factorial Factorization,1035,3.34,6.66,lightoj,http://lightoj.com/volume_showproblem.php?problem=1035,1765,1804
Trailing Zeroes (III),1138,3.51,6.49,lightoj,http://lightoj.com/volume_showproblem.php?problem=1138,1700,1806
Combinations,1067,3.68,6.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1067,1687,1984
Trailing Zeroes (I),1028,3.84,6.16,lightoj,http://lightoj.com/volume_showproblem.php?problem=1028,1574,1775
Goldbach`s Conjecture,1259,4.01,5.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1259,1288,1420
Trailing Zeroes (II),1090,4.18,5.82,lightoj,http://lightoj.com/volume_showproblem.php?problem=1090,1150,1201
How Many Points?,1077,4.35,5.65,lightoj,http://lightoj.com/volume_showproblem.php?problem=1077,1082,1136
Efficient Pseudo Code,1054,4.52,5.48,lightoj,http://lightoj.com/volume_showproblem.php?problem=1054,1065,1255
Finding LCM,1215,4.68,5.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1215,1015,1159
Harmonic Number,1234,4.85,5.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1234,942,1067
Eid,1024,5.02,4.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1024,853,1333
Help Hanzo,1197,5.19,4.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1197,840,951
A New Function,1098,5.36,4.64,lightoj,http://lightoj.com/volume_showproblem.php?problem=1098,773,820
Mysterious Bacteria,1220,5.52,4.48,lightoj,http://lightoj.com/volume_showproblem.php?problem=1220,763,807
Harmonic Number (II),1245,5.69,4.31,lightoj,http://lightoj.com/volume_showproblem.php?problem=1245,706,735
Leading and Trailing,1282,5.86,4.14,lightoj,http://lightoj.com/volume_showproblem.php?problem=1282,681,711
Fantasy of a Summation,1213,6.03,3.97,lightoj,http://lightoj.com/volume_showproblem.php?problem=1213,660,676
Bank Robbery,1163,6.20,3.80,lightoj,http://lightoj.com/volume_showproblem.php?problem=1163,633,659
Pairs Forming LCM,1236,6.37,3.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1236,569,621
LCM from 1 to n,1289,6.53,3.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1289,568,715
Sum of Consecutive Integers,1278,6.70,3.30,lightoj,http://lightoj.com/volume_showproblem.php?problem=1278,556,649
Bi-shoe and Phi-shoe,1370,6.87,3.13,lightoj,http://lightoj.com/volume_showproblem.php?problem=1370,499,536
Sigma Function,1336,7.04,2.96,lightoj,http://lightoj.com/volume_showproblem.php?problem=1336,484,497
Aladdin and the Flying Carpet,1341,7.21,2.79,lightoj,http://lightoj.com/volume_showproblem.php?problem=1341,472,560
"One Theorem, One Year",1298,7.37,2.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1298,288,293
Story of Tomisu Ghost,1340,7.54,2.46,lightoj,http://lightoj.com/volume_showproblem.php?problem=1340,274,278
Grid Coloring,1333,7.71,2.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1333,232,254
Prime Independence,1356,7.88,2.12,lightoj,http://lightoj.com/volume_showproblem.php?problem=1356,218,254
LCM Extreme,1375,8.05,1.95,lightoj,http://lightoj.com/volume_showproblem.php?problem=1375,204,217
Strange Game,1318,8.21,1.79,lightoj,http://lightoj.com/volume_showproblem.php?problem=1318,118,123
Politeness,1399,8.38,1.62,lightoj,http://lightoj.com/volume_showproblem.php?problem=1399,48,68
