problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Array Queries,1082,4.50,5.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1082,3179,3424
Curious Robin Hood,1112,4.67,5.33,lightoj,http://lightoj.com/volume_showproblem.php?problem=1112,2555,2707
Binary Simulation,1080,4.85,5.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1080,1988,2203
Horrible Queries,1164,5.02,4.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1164,1478,1562
Ghajini,1093,5.20,4.80,lightoj,http://lightoj.com/volume_showproblem.php?problem=1093,1440,1500
Histogram,1083,5.37,4.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1083,1387,1499
Diablo,1087,5.54,4.46,lightoj,http://lightoj.com/volume_showproblem.php?problem=1087,1123,1274
All Possible Increasing Subsequences,1085,5.72,4.28,lightoj,http://lightoj.com/volume_showproblem.php?problem=1085,1104,1165
Points in Segments (II),1089,5.89,4.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1089,934,1034
Computing Fast Average,1183,6.07,3.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1183,880,926
Count the Multiples of 3,1135,6.24,3.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1135,873,955
Fast Queries,1188,6.41,3.59,lightoj,http://lightoj.com/volume_showproblem.php?problem=1188,829,896
Posters for Election,1207,6.59,3.41,lightoj,http://lightoj.com/volume_showproblem.php?problem=1207,662,708
Lucky Number,1097,6.76,3.24,lightoj,http://lightoj.com/volume_showproblem.php?problem=1097,622,660
Aladdin and the Return Journey,1348,6.93,3.07,lightoj,http://lightoj.com/volume_showproblem.php?problem=1348,608,686
Lining up Students,1187,7.11,2.89,lightoj,http://lightoj.com/volume_showproblem.php?problem=1187,511,551
Strongest Community,1339,7.28,2.72,lightoj,http://lightoj.com/volume_showproblem.php?problem=1339,505,538
New Land,1424,7.46,2.54,lightoj,http://lightoj.com/volume_showproblem.php?problem=1424,398,414
Rectangle Union,1120,7.63,2.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1120,282,308
Castle Walls,1103,7.80,2.20,lightoj,http://lightoj.com/volume_showproblem.php?problem=1103,278,296
Rip Van Winkle`s Code,1411,7.98,2.02,lightoj,http://lightoj.com/volume_showproblem.php?problem=1411,166,211
Save the Trees,1415,8.15,1.85,lightoj,http://lightoj.com/volume_showproblem.php?problem=1415,142,189
Weird Advertisement,1204,8.33,1.67,lightoj,http://lightoj.com/volume_showproblem.php?problem=1204,86,97
