category_name,category_name_2,category_name_3,category_name_4,category_name_5,category_name_6,category_name_7,category_name_8,category_name_9,category_name_10,category_name_11,category_name_12
basic_math,"ad_hoc,2","implementation,2",,,,,,,,,
bit_manipulation,"ad_hoc,6","implementation,5","basic_math,7.5",,,,,,,,
gcd,"basic_math,3","ad_hoc,5",,,,,,,,,
lcm,"basic_math,3","gcd,8","ad_hoc,5",,,,,,,,
prime_number,"basic_math,5","ad_hoc,5",,,,,,,,,
factorial,"basic_math,5","implementation,5","ad_hoc,5",,,,,,,,
modular_arithmetic,"basic_math,5","implementation,5",,,,,,,,,
big_mod,"basic_math,5","prime_number,3","modular_arithmetic,5","implementation,7",,,,,,,
divisor_theory,"basic_math,5","prime_number,5","implementation,7",,,,,,,,
digit_manipulation,"basic_math,7","ad_hoc,5","implementation,7",,,,,,,,
advanced_math,"basic_math,10","gcd,5","lcm,5","prime_number,7","factorial,5","divisor_theory,5",,,,,
modular_inverse,"basic_math,5","modular_arithmetic,8",,,,,,,,,
euler_theorem,"basic_math,8","modular_arithmetic,6",,,,,,,,,
factorization,"basic_math,3","prime_number,8",,,,,,,,,
euler_phi,"basic_math,2","sieve,5","factorization,2","euler_theorem,3",,,,,,,
sieve,"basic_math,5","prime_number,5","divisor_theory,5","implementation,7",,,,,,,
mobius_function,"basic_math,5","gcd,4","lcm,4","prime_number,3","sieve,3",,,,,,
chinese_remainder_theorem,"advanced_math,6","implementation,8",,,,,,,,,
miller_rabin_primality_test,"advanced_math,7","prime_number,3","sieve,3","modular_arithmetic,4","implementation,8",,,,,,
lucas_theorem,"advanced_math,8","sieve,3","prime_number,3","modular_arithmetic,4","implementation,8",,,,,,
extended_euclid,"advanced_math,6.5","euler_theorem,3","gcd,2","modular_arithmetic,3","implementation,8",,,,,,
diophantine_equation,"advanced_math,8","gcd,2","extended_euclid,5","implementation,8",,,,,,,
gaussian_elimination,"advanced_math,9.5","implementation,8",,,,,,,,,
pollard_rho,"advanced_math,9","miller_rabin_primality_test,7","sieve,3","prime_number,3","modular_arithmetic,2",,,,,,
basic_greedy_knowledge,"implementation,4","basic_stl,5",,,,,,,,,
interval_scheduling,"basic_greedy_knowledge,6","implementation,4","basic_stl,8",,,,,,,,
job_sequencing_problem,"interval_scheduling,5","basic_greedy_knowledge,6",,,,,,,,,
stable_marriage,"dfs,7","basic_greedy_knowledge,6","basic_stl,8","implementation,4",,,,,,,
basic_graph_knowledge,"implementation,3","basic_stl,8","recursion,7","stack,7","queue,7",,,,,,
bfs,"implementation,5","basic_graph_knowledge,7","recursion,7","stack,7","queue,8",,,,,,
dfs,"implementation,5","basic_graph_knowledge,7","recursion,7","stack,7","stack,8",,,,,,
graph_traversal,"implementation,5","bfs,5","dfs,5",,,,,,,,
flood_fill,"implementation,5","dfs,9",,,,,,,,,
tree_traversal,"implementation,5","basic_graph_knowledge,4","basic_tree_knowledge,5","dfs,5",,,,,,,
graph_coloring,"implementation,5","basic_math,6","bfs,5","dfs,5",,,,,,,
euler_circuit,"implementation,5","basic_graph_knowledge,8","bfs,5","dfs,5","basic_math,6",,,,,,
topological_sort,"implementation,5","basic_graph_knowledge,8","bfs,5","dfs,5","basic_math,6","basic_stl,7","queue,6",,,,
dijkstra,"implementation,6","dfs,8","basic_stl,7","priority_queue,8","stack,3",,,,,,
bellaman_ford,"implementation,6","dijkstra,7",,,,,,,,,
floyd_warshall,"implementation,6","dijkstra,7",,,,,,,,,
dag,"implementation,6.5","topological_sort,7",,,,,,,,,
maximum_bipartite_matching,"implementation,6","basic_graph_knowledge,8.5","bfs,8","dfs,8","dijkstra,7","basic_math,4",,,,,
max_flow,"implementation,6","basic_graph_knowledge,8.5","bfs,8","dfs,8","dijkstra,7","basic_math,4",,,,,
minimum_spanning_tree,"implementation,6","dijkstra,7","union_find,8","basic_math,6",,,,,,,
strongly_connected_component,"implementation,7","basic_graph_knowledge,8.5","bfs,8","dfs,8","basic_math,4","recursion,7",,,,,
biconnected_component,"implementation,7","basic_graph_knowledge,8.5","bfs,8","dfs,8","basic_math,4","recursion,7",,,,,
articulation_bridge,"implementation,7","basic_graph_knowledge,8.5","bfs,8","dfs,8","basic_math,4","recursion,7",,,,,
articulation_point,"implementation,7","basic_graph_knowledge,8.5","bfs,8","dfs,8","basic_math,4","recursion,7",,,,,
two_sat,"implementation,7.5","basic_graph_knowledge,9","basic_math,8","basic_stl,7","bfs,8","dfs,8","dijkstra,7",,,,
min_cost_max_flow,"implementation,8","max_flow,8","bellaman_ford,8","dijkstra,8",,,,,,,
