category_root,category_name,category_difficulty,category_importance
number_theory,gcd,1,10
,lcm,1,10
,prime_number,1,10
,factorial,1,9
,modular_arithmetic,2.5,9
,big_mod,3,7
,divisor_theory,3,8
,digit_manipulation,3,5
,modular_inverse,3.5,6
,euler_theorem,3.5,4
,factorization,4,10
,euler_phi,4.5,7
,sieve,4.5,9
,mobius_function,5.5,4
,chinese_remainder_theorem,6,5
,miller_rabin_primality_test,6.5,3
,lucas_theorem,6.5,3
,extended_euclid,7,6
,diophantine_equation,7.5,5
,gaussian_elimination,7.5,3
,pollard_rho,9,2
greedy,basic_greedy_knowledge,4,6
,interval_scheduling,3,6
,job_sequencing_problem,3,4
,stable_marriage,4,2
graph,basic_graph_knowledge,3.5,10
,bfs,3,10
,dfs,3,10
,graph_traversal,3,10
,flood_fill,3,6.5
,tree_traversal,3,10
,graph_coloring,3.5,4
,euler_circuit,4,3
,topological_sort,5,9
,dijkstra,5,9
,bellaman_ford,5,6
,floyd_warshall,5.5,5
,dag,5.5,7
,maximum_bipartite_matching,6,8
,max_flow,6.5,8
,minimum_spanning_tree,6.5,9
,strongly_connected_component,7,6
,biconnected_component,7,3
,articulation_bridge,7,5
,articulation_point,7,5
,two_sat,7.5,4
,min_cost_max_flow,8,8
data_structure,basic_stl,2,10
,stack,2.5,9
,queue,2.5,9
,priority_queue,3,9
,pbds,4,5
,trie,4,7
,union_find,4.5,6
,basic_tree_knowledge,4,7.5
,binary_search_tree,4.5,6
,sqrt_decomposition,5,6
,sparse_table,5,7
,lowest_common_ancestor,5.5,6
,mo_algorithm,5.5,5
,segment_tree,6,9
,binary_index_tree,6.5,5
,persistent_data_structure,7.5,6
,centroid_decomposition,8,5
,heavy_light_decomposition,8.5,5
,treap,9,5
,splay_tree,9,5
dynamic_programming,basic_easy_dp,3,10
,coin_change,4,10
,knapsack,4,9
,maximum_subarray_sum,3.5,7
,longest_increasing_subsequence,4,7
,longest_common_subsequence,4.5,7
,edit_distance,4.5,4
,tree_dp,5,8
,bit_mask,5.5,8.5
,digit_dp,6,8
,non_classical_dp,6,9
,sibling_dp,6.5,5.5
,interval_dp,6.5,4
,divide_and_conquere_optimization,8,4
,component_dp,7,2
,knuth_optimization,9,6
,convex_hull_trick,9,6
combinatorics,basic_permutation_combination,2,10
,star_and_bars_theorem,3.5,6
,catalan_number,3,5
,inclusion_exclusion,4.5,8
,derrangement,5.5,4
,sterling_number,7.5,4
probability_statistics,basic_probability,3.5,7
,expected_value,6,7
string_processing,hashing,4,10
,z_algorithm,5.5,6
,kmp,6,7
,manachers_algorithm,7.5,5
,aho_corasick,8.5,6
,suffix_array,8,8
geometry,basic_vector_geometry,2,9
,shape_area,3,8
,point_segment_distance,3.5,7
,picks_theorem,3,5
,segment_segment_intersection,4,8
,closest_pair_of_points,5.5,4
,shape_intersection,5,4
,convex_hull,6,9
,point_inside_polygon,5.5,6
,line_sweep,7,5
,rotating_callipers,8,5
,shape_rotation,7.5,2
game_theory,nim,2,5
,misere_nim,3,2
,bogus_nim,3,2
,staircase_nim,3.5,2
,grundy_number ,6,5
,hackenbush,8,2
miscellaneous,basic_backtracking,3.5,10
,recursion,3,10
,binary_search,4,10
,two_pointer,3.5,8
,sliding_window,3.5,8
,ternary_search,4.5,9
,meet_in_the_middle,5,7
,josephus_problem,6,5
,fft,9,6
base,ad_hoc,1,10
,observation,3,8
,implementation,3.5,7
,pattern,4,6.5
mathematics,basic_math,3,9
,advanced_math,9.5,4
,bit_manipulation,3.5,7.5
,math_calculation,4,4
,matrix_exponentiation,6,7
