category_root,category_name,short_name,category_difficulty,category_importance,factor,score_percentage
data_structure,basic_stl,,2,10,1,1.5
data_structure,stack,,2.5,9,2,1.5
data_structure,queue,,2.5,9,2,1.5
data_structure,priority_queue,,3,9,2,1.5
data_structure,pbds,,4,5,2,1.5
data_structure,trie,,4,7,2,6
data_structure,union_find,,4.5,6,2,5
data_structure,basic_tree_knowledge,,4,7.5,1,1.5
data_structure,binary_search_tree,,4.5,6,2,8
data_structure,sqrt_decomposition,,5,6,2,8
data_structure,sparse_table,,5,7,2,8
data_structure,lowest_common_ancestor,,5.5,6,2,3
data_structure,mo_algorithm,,5.5,5,2,6
data_structure,segment_tree,,6,9,1,15
data_structure,binary_index_tree,,6.5,5,1,3
data_structure,persistent_data_structure,,7.5,6,2.5,6
data_structure,centroid_decomposition,,8,5,2.5,5
data_structure,heavy_light_decomposition,,8.5,5,2,6
data_structure,treap,,9,5,2.5,8
data_structure,splay_tree,,9,5,3,4
sum,,,,,,100
