category_root,category_name,short_name,category_difficulty,category_importance,factor,score_percentage
dynamic_programming,basic_easy_dp,,3,10,1,2.5
dynamic_programming,coin_change,,4,10,1,5
dynamic_programming,knapsack,,4,9,1,5
dynamic_programming,maximum_subarray_sum,,3.5,7,1.5,2
dynamic_programming,longest_increasing_subsequence,,4,7,1,2
dynamic_programming,longest_common_subsequence,,4.5,7,1,2
dynamic_programming,edit_distance,,4.5,4,1,0.5
dynamic_programming,tree_dp,,5,8,1,13
dynamic_programming,bit_mask,,5.5,8.5,1.15,10
dynamic_programming,digit_dp,,6,8,1.5,5
dynamic_programming,non_classical_dp,,6,9,1,30
dynamic_programming,sibling_dp,,6.5,5.5,2,3.5
dynamic_programming,interval_dp,,6.5,4,3,1
dynamic_programming,divide_and_conquere_optimization,,8,4,1.5,3
dynamic_programming,component_dp,,7,2,3,1.5
dynamic_programming,knuth_optimization,,9,6,1.5,6
dynamic_programming,convex_hull_trick,,9,6,1.5,8
sum,,,,,,100
