category_root,category_name,short_name,category_difficulty,category_importance,factor,score_percentage
graph,basic_graph_knowledge,,3.5,10,1,1
graph,bfs,,3,10,1,7
graph,dfs,,3,10,1,8
graph,graph_traversal,,3,10,1,1
graph,flood_fill,,3,6.5,2.5,3
graph,tree_traversal,,3,10,1,1
graph,graph_coloring,,3.5,4,2,2
graph,euler_circuit,,4,3,3,0.5
graph,topological_sort,,5,9,1,5
graph,dijkstra,,5,9,1,10
graph,bellaman_ford,,5,6,2.5,2.5
graph,floyd_warshall,,5.5,5,2.5,2
graph,dag,,5.5,7,1,6
graph,maximum_bipartite_matching,,6,8,1,5
graph,max_flow,,6.5,8,1,10
graph,minimum_spanning_tree,,6.5,9,2,5
graph,strongly_connected_component,,7,6,2,5
graph,biconnected_component,,7,3,2,1.5
graph,articulation_bridge,,7,5,1,3
graph,articulation_point,,7,5,1,3
graph,two_sat,,7.5,4,3.5,2.5
graph,min_cost_max_flow,,8,8,1.5,6
graph,non_classical_graph,,6,8,1,10
sum,,,,,,100
