category_root,category_name,short_name,category_difficulty,category_importance,factor,score_percentage
miscellaneous,basic_backtracking,,3.5,10,1,12
miscellaneous,recursion,,3,10,1,10
miscellaneous,binary_search,,4,10,1,20
miscellaneous,two_pointer,,3.5,8,1,10
miscellaneous,sliding_window,,3.5,8,1,7
miscellaneous,ternary_search,,4.5,9,1.15,12
miscellaneous,meet_in_the_middle,,5,7,2,5
miscellaneous,josephus_problem,,6,5,2.5,2
miscellaneous,interactive,,5.5,3,2,5
miscellaneous,divide_and_conquer,,6,5,2,12
miscellaneous,randomized_algorithm,,5,3.5,2,5
sum,,,,,,100
