category_root,category_name,short_name,category_difficulty,category_importance,factor,score_percentage
number_theory,gcd,,1,10,1,7
number_theory,lcm,,1,10,1,7
number_theory,prime_number,,1,10,1,7
number_theory,factorial,,1,9,1,5
number_theory,modular_arithmetic,,2.5,9,1,7
number_theory,big_mod,,3,7,2,7
number_theory,divisor_theory,,3,8,2,4
number_theory,digit_manipulation,,3,5,1,2
number_theory,modular_inverse,,3.5,6,3,7
number_theory,euler_theorem,,3.5,4,5,4
number_theory,factorization,,4,10,1,8
number_theory,euler_phi,,4.5,7,4,5.5
number_theory,sieve,,4.5,9,1,10
number_theory,mobius_function,,5.5,4,2.5,3
number_theory,chinese_remainder_theorem,,6,5,3,3.5
number_theory,miller_rabin_primality_test,,6.5,3,3,2
number_theory,lucas_theorem,,6.5,3,3,1.5
number_theory,extended_euclid,,7,6,3,6
number_theory,diophantine_equation,,7.5,5,3,1.5
number_theory,gaussian_elimination,,7.5,3,3,1
number_theory,pollard_rho,,9,2,3,1
sum,,,,,,100
