category_name,dif_01,cnt_01,dif_02,cnt_02,dif_03,cnt_03,dif_04,cnt_04,dif_05,cnt_05,dif_06,cnt_06,dif_07,cnt_07,dif_08,cnt_08,dif_09,cnt_09,dif_10,cnt_10
base,0-2,3-5,1-3,3-4,1-4,3-4,1-4,2-3,2-5.5,2-3,2.5-6.5,2-3,4-7,2-3,4.5-8,2-3,4.5-9,2-3,5-10,1-2
number_theory,0-2,1-2,1-3,1-2,1-4,1-2,1-4.5,1-2,2-5.5,1-2,2.5-6.5,1-2,4-7,1-2,4.5-8,1-2,4.5-9,1-2,5-10,1-2
greedy,0-2,2-3,1-3,2-3,1-3.5,2-3,1-35,1-2,2-5.5,1-2,2.5-6.5,1-2,4-7,1-2,4.5-8,1-2,4.5-9,1-2,5-10,1-2
dynamic_programming,0-3,1-2,1-3.5,1-2,1-4,1-2,1-4.5,1-3,2-5.5,1-3,2.5-7,1-3,4-7,1-3,4.5-8,1-3,4.5-9,1-3,5-10,1-3
data_structure,0-3,1-2,1-3.5,1-2,1-4,1-2,1-4.5,1-3,2-5.5,1-3,2.5-7,1-3,4-7,1-3,4.5-8,1-3,4.5-9,1-3,5-10,1-3
graph,0-3,0-1,1-3,0-1,1-4,0-1,1-4.5,0-2,2-5.5,0-2,2.5-6.5,0-2,4-7,0-2,4.5-8,0-2,4.5-9,0-2,5-10,0-2
combinatorics,0-2.5,1-2,1-3,1-2,1-3.5,1-2,1-4.5,0-2,2-5.5,0-2,2.5-6.5,0-2,4-7,0-2,4.5-8,0-2,4.5-9,0-2,5-10,0-2
geometry,0-2.5,1-2,1-3,1-2,1-4,1-2,2-4.5,0-2,2-5.5,0-2,2.5-6.5,0-2,4-7,0-2,4.5-8,0-2,4.5-9,0-2,5-10,0-2
string_processing,0-3,0-0,1-3,0-0,1-3.5,0-0,3-4.5,0-2,2-5.5,0-2,2.5-6.5,0-2,4-7,0-2,4.5-8,0-2,4.5-9,0-2,5-10,0-2
miscellaneous,0-2,1-2,1-2,1-2,1-3.5,1-2,1-4.5,0-3,2-5.5,0-3,2.5-6.5,0-3,4-7,0-3,4.5-8,0-3,4.5-9,0-3,5-10,0-3
mathematics,0-2,1-3,1-3,1-3,1-3.5,1-3,1.5-4.5,0-2,2-5.5,0-2,2.5-6.5,0-2,4-7,0-2,4.5-8,0-2,4.5-9,0-2,5-10,0-2
probability_statistics,0-2,1-2,1-2,1-2,1-3.5,1-2,3-4.5,0-2,2-5.5,0-2,2.5-6.5,0-2,4-7,0-2,4.5-8,0-2,4.5-9,0-2,5-10,0-2
game_theory,0-3,0-1,1-3,0-1,1-3.5,0-1,1-4.5,0-1,2-5.5,0-1,2.5-6.5,0-1,4-7,0-1,4.5-8,0-1,4.5-9,0-1,5-10,0-1
random_choice,0-3,0-100,2-3,0-100,3-4.5,0-100,3-5,0-100,4-7,0-100,5-8,0-100,5-7.5,0-100,5.5-8,0-100,7-9,0-100,8-10,0-100
