problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,category_id_1,category_id_2
The number of positions,124/A,2,,,https://codeforces.com/problemset/problem/124/A,"basic_math,10",
Cifera,114/A,2.5,,,https://codeforces.com/problemset/problem/114/A,"basic_math,10",
Chips,92/A,1.5,,,https://codeforces.com/problemset/problem/92/A,"basic_math,8","implementation,2"
Toy Army,84/A,2.5,,,https://codeforces.com/problemset/problem/84/A,"basic_math,10",
Double Cola,82/A,3,,,https://codeforces.com/problemset/problem/82/A,"basic_math,7","implementation,3"
Panoramix's Prediction,80/A,2.5,,,https://codeforces.com/problemset/problem/80/A,"basic_math,7","ad_hoc,3"
Holiday Of Equality,758/A,2,,,https://codeforces.com/problemset/problem/758/A,"basic_math,7","implementation,3"
Chef And Coloring,COLOR,3.5,,,https://www.codechef.com/problems/COLOR,"basic_math,7","implementation,3"
Petr and Book,139/A,3,,,https://codeforces.com/problemset/problem/139/A,"basic_math,3","implementation,7"
Fox and Number Game,389/A,2.5,,,https://codeforces.com/problemset/problem/389/A,"basic_math,10",
Professor GukiZ's Robot,620/A,2,,,https://codeforces.com/problemset/problem/620/A,"basic_math,7","implementation,3"
Probability,KJCC13,3.5,,,https://www.codechef.com/problems/KJCC13,"basic_math,10",
Random Teams,478/B,3.5,,,https://codeforces.com/problemset/problem/478/B,"basic_math,7","implementation,3"
Mahmoud and a Triangle,766/B,2,,,https://codeforces.com/problemset/problem/766/B,"basic_math,7","implementation,3"
Funny Encryption Method,10019,4,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=960,"basic_math,5","implementation,5"
To Carry or not to Carry,10469,2.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1410,"basic_math,9","implementation,1"
Teams,11609,2.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2656,"basic_math,9","implementation,1"
Little Nephew,12463,4,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3906,"basic_math,10",
What is the Median?,10107,3.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1048,"basic_math,10",
Circle in Square,1022,2,,,http://lightoj.com/volume_showproblem.php?problem=1022,"basic_math,10",
Fourth Point !!,10242,3.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1183,"basic_math,7","implementation,3"
Is this the easiest problem?,11479,2.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2474,"basic_math,10",
Egypt,11854,2.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2954,"basic_math,10",
Colourful Flowers,11152,4,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2093,"basic_math,10",
Points in Figures: Rectangles,476,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=417,"basic_math,7","implementation,3"
10:06:02,12578,4,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4023,"basic_math,10",
