problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Greetings from LightOJ,1000,1.5,8.5,lightoj,http://lightoj.com/volume_showproblem.php?problem=1000,15030,"ad_hoc,6",,
Opposite Task,1001,1.55,8.45,lightoj,http://lightoj.com/volume_showproblem.php?problem=1001,10760,"ad_hoc,6",,
Circle in Square,1022,1.6,8.4,lightoj,http://lightoj.com/volume_showproblem.php?problem=1022,7054,"ad_hoc,6",,
Brush (I),1015,1.65,8.35,lightoj,http://lightoj.com/volume_showproblem.php?problem=1015,6110,"ad_hoc,6",,
Hex-a-bonacci,1006,1.71,8.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1006,5726,"ad_hoc,6",,
Higher Math,1053,1.76,8.24,lightoj,http://lightoj.com/volume_showproblem.php?problem=1053,5485,"ad_hoc,6",,
Lift,1069,1.81,8.19,lightoj,http://lightoj.com/volume_showproblem.php?problem=1069,5483,"ad_hoc,6",,
How Cow,1107,1.86,8.14,lightoj,http://lightoj.com/volume_showproblem.php?problem=1107,4962,"ad_hoc,6",,
Fibsieve`s Fantabulous Birthday,1008,1.91,8.09,lightoj,http://lightoj.com/volume_showproblem.php?problem=1008,4239,"ad_hoc,6","implementation,5","pattern,6"
Parity,1182,1.96,8.04,lightoj,http://lightoj.com/volume_showproblem.php?problem=1182,4110,"ad_hoc,6",,
Ekka Dokka,1116,2.01,7.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1116,3796,"ad_hoc,6",,
Palindromic Numbers (II),1225,2.06,7.94,lightoj,http://lightoj.com/volume_showproblem.php?problem=1225,3671,"ad_hoc,6",,
Positive Negative Sign,1294,2.12,7.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1294,3499,"ad_hoc,6",,
Knights in Chessboard,1010,2.17,7.83,lightoj,http://lightoj.com/volume_showproblem.php?problem=1010,3473,"ad_hoc,6","implementation,5","pattern,6"
Calm Down,1072,2.22,7.78,lightoj,http://lightoj.com/volume_showproblem.php?problem=1072,3460,"ad_hoc,6",,
IP Checking,1354,2.27,7.73,lightoj,http://lightoj.com/volume_showproblem.php?problem=1354,3239,"ad_hoc,6",,
Setu,1387,2.32,7.68,lightoj,http://lightoj.com/volume_showproblem.php?problem=1387,3151,"ad_hoc,6",,
Digits of Factorial,1045,2.37,7.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1045,3082,"ad_hoc,6",,
Area of a Parallelogram,1305,2.42,7.58,lightoj,http://lightoj.com/volume_showproblem.php?problem=1305,3025,"ad_hoc,6",,
False Ordering,1109,2.47,7.53,lightoj,http://lightoj.com/volume_showproblem.php?problem=1109,2924,"ad_hoc,6",,
Discover the Web,1113,2.53,7.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1113,2815,"ad_hoc,6",,
Large Division,1214,2.58,7.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1214,2788,"ad_hoc,6",,
Division by 3,1136,2.63,7.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1136,2751,"ad_hoc,6","pattern,6",
Array Simulation,1133,2.68,7.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1133,2701,"ad_hoc,6",,
Boiled Eggs,1227,2.73,7.27,lightoj,http://lightoj.com/volume_showproblem.php?problem=1227,2669,"ad_hoc,6",,
Minimum Arc Distance,1433,2.78,7.22,lightoj,http://lightoj.com/volume_showproblem.php?problem=1433,2544,"ad_hoc,6",,
Double Ended Queue,1212,2.83,7.17,lightoj,http://lightoj.com/volume_showproblem.php?problem=1212,2508,"ad_hoc,6",,
Juice in the Glass,1216,2.88,7.12,lightoj,http://lightoj.com/volume_showproblem.php?problem=1216,2448,"ad_hoc,6",,
Secret Origins,1042,2.94,7.06,lightoj,http://lightoj.com/volume_showproblem.php?problem=1042,2345,"ad_hoc,6",,
Bishops,1202,2.99,7.01,lightoj,http://lightoj.com/volume_showproblem.php?problem=1202,2330,"ad_hoc,6",,
Agent J,1331,3.04,6.96,lightoj,http://lightoj.com/volume_showproblem.php?problem=1331,2231,"ad_hoc,6",,
Hidden Secret!,1338,3.09,6.91,lightoj,http://lightoj.com/volume_showproblem.php?problem=1338,2203,"ad_hoc,6",,
Chocolate Thief,1249,3.14,6.86,lightoj,http://lightoj.com/volume_showproblem.php?problem=1249,2093,"ad_hoc,6",,
Unlucky Bird,1311,3.19,6.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1311,1884,"ad_hoc,6",,
Sum of Factorials,1189,3.24,6.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1189,1838,"ad_hoc,6",,
Pinocchio,1241,3.29,6.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1241,1775,"ad_hoc,6",,
Intersection of Cubes,1211,3.4,6.6,lightoj,http://lightoj.com/volume_showproblem.php?problem=1211,1513,"ad_hoc,6","implementation,5",
K-SAT Problem,1261,3.45,6.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1261,972,"ad_hoc,6","basic_math,7",
