problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Fibsieve`s Fantabulous Birthday,classical,1008,2.5,7.5,lightoj,http://lightoj.com/volume_showproblem.php?problem=1008,4239,"basic_math,6",,
Ekka Dokka,,1116,2.61,7.39,lightoj,http://lightoj.com/volume_showproblem.php?problem=1116,3796,"basic_math,6",,
Positive Negative Sign,,1294,2.71,7.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1294,3499,"basic_math,6",,
Knights in Chessboard,,1010,2.82,7.18,lightoj,http://lightoj.com/volume_showproblem.php?problem=1010,3473,"basic_math,6","implementation,3","observation,4"
IP Checking,,1354,2.92,7.08,lightoj,http://lightoj.com/volume_showproblem.php?problem=1354,3239,"basic_math,6",,
Unlucky Bird,,1311,3.13,6.87,lightoj,http://lightoj.com/volume_showproblem.php?problem=1311,1884,"basic_math,6",,
A Childhood Game,,1020,3.24,6.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1020,1709,"basic_math,6",,
February 29,classical,1414,3.34,6.66,lightoj,http://lightoj.com/volume_showproblem.php?problem=1414,1593,"basic_math,6",,
Integer Divisibility,,1078,3.45,6.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1078,1486,"basic_math,6",,
Mad Counting,,1148,3.55,6.45,lightoj,http://lightoj.com/volume_showproblem.php?problem=1148,946,"basic_math,6",,
Largest Box,,1297,3.66,6.34,lightoj,http://lightoj.com/volume_showproblem.php?problem=1297,779,"basic_math,6",,
Josephus Problem,,1179,3.76,6.24,lightoj,http://lightoj.com/volume_showproblem.php?problem=1179,768,"basic_math,6",,
Internet Service Providers,,1275,3.87,6.13,lightoj,http://lightoj.com/volume_showproblem.php?problem=1275,696,"basic_math,6",,
Answering Queries,,1369,3.97,6.03,lightoj,http://lightoj.com/volume_showproblem.php?problem=1369,569,"basic_math,7",,
Aladdin and the Optimal Invitation,,1349,4.08,5.92,lightoj,http://lightoj.com/volume_showproblem.php?problem=1349,286,"basic_math,7",,
Consistent Verdicts,,1410,4.18,5.82,lightoj,http://lightoj.com/volume_showproblem.php?problem=1410,238,"basic_math,7",,
Billiard Balls,,1323,4.29,5.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1323,127,"basic_math,8","implementation,5",
A Question of Time,,1430,4.39,5.61,lightoj,http://lightoj.com/volume_showproblem.php?problem=1430,50,"basic_math,9",,
