problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Triangle Partitioning,classical,1043,2.92,7.08,lightoj,http://lightoj.com/volume_showproblem.php?problem=1043,2851,"binary_search,7.5",,
Points in Segments,,1088,3.1,6.9,lightoj,http://lightoj.com/volume_showproblem.php?problem=1088,1855,"binary_search,7.5",,
Crossed Ladders,,1062,3.45,6.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1062,1241,"binary_search,7.5",,
Get the Containers,,1076,3.62,6.38,lightoj,http://lightoj.com/volume_showproblem.php?problem=1076,1170,"binary_search,7.5",,
Olympics,,1056,3.8,6.2,lightoj,http://lightoj.com/volume_showproblem.php?problem=1056,1131,"binary_search,7.5",,
Counting Triangles,,1307,3.97,6.03,lightoj,http://lightoj.com/volume_showproblem.php?problem=1307,1102,"binary_search,7.5",,
Coin Change (IV),,1235,4.32,5.68,lightoj,http://lightoj.com/volume_showproblem.php?problem=1235,657,"binary_search,7.5",,
Expanding Rods,,1137,4.5,5.5,lightoj,http://lightoj.com/volume_showproblem.php?problem=1137,632,"binary_search,7.5",,
Funny Knapsack,,1127,4.67,5.33,lightoj,http://lightoj.com/volume_showproblem.php?problem=1127,615,"binary_search,7.5",,
Counting Perfect BST,,1170,4.85,5.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1170,563,"binary_search,7.5",,
Very Lucky Numbers,,1276,5.02,4.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1276,335,"binary_search,7.5",,
Best Grade,,1280,7.2,4.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1280,149,"binary_search,7.5",,
Stream My Contest,,1384,7.5,4.45,lightoj,http://lightoj.com/volume_showproblem.php?problem=1384,104,"binary_search,7.5",,
Inhabitants,,1196,8,4.28,lightoj,http://lightoj.com/volume_showproblem.php?problem=1196,98,"binary_search,7.5",,
Speed Zones,,1391,8.25,4.1,lightoj,http://lightoj.com/volume_showproblem.php?problem=1391,82,"binary_search,7.5",,
Fukushima Nuclear Blast,,1358,8.55,3.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1358,66,"binary_search,7.5",,
