problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Factors and Multiples,classical,1149,5,5,lightoj,http://lightoj.com/volume_showproblem.php?problem=1149,718,"maximum_bipartite_matching,8","max_flow,3",
A Perfect Murder,,1201,5.27,4.73,lightoj,http://lightoj.com/volume_showproblem.php?problem=1201,642,"maximum_bipartite_matching,7","max_flow,4",
Marriage Media,,1184,5.54,4.46,lightoj,http://lightoj.com/volume_showproblem.php?problem=1184,544,"maximum_bipartite_matching,7","max_flow,3",
Hiding Gold,,1152,5.81,4.19,lightoj,http://lightoj.com/volume_showproblem.php?problem=1152,403,"maximum_bipartite_matching,7","max_flow,3",
Ghosts!,,1150,6.08,3.92,lightoj,http://lightoj.com/volume_showproblem.php?problem=1150,305,"maximum_bipartite_matching,7","max_flow,3",
Air Raid,,1403,6.35,3.65,lightoj,http://lightoj.com/volume_showproblem.php?problem=1403,304,"maximum_bipartite_matching,6","max_flow,4",
Strange Voting,,1209,6.62,3.38,lightoj,http://lightoj.com/volume_showproblem.php?problem=1209,249,"maximum_bipartite_matching,7","max_flow,3",
Scheduling Taxi Cabs,,1206,6.88,3.12,lightoj,http://lightoj.com/volume_showproblem.php?problem=1206,222,"maximum_bipartite_matching,7","max_flow,3",
Assassin`s Creed (II),,1429,7.15,2.85,lightoj,http://lightoj.com/volume_showproblem.php?problem=1429,196,"maximum_bipartite_matching,7","max_flow,2",
Multiple Free Subset,,1218,7.42,2.58,lightoj,http://lightoj.com/volume_showproblem.php?problem=1218,120,"maximum_bipartite_matching,7","max_flow,3",
Strongly Connected Chemicals,,1373,7.69,2.31,lightoj,http://lightoj.com/volume_showproblem.php?problem=1373,113,"maximum_bipartite_matching,8","max_flow,3",
The Best Contest Site Ever,,1304,7.96,2.04,lightoj,http://lightoj.com/volume_showproblem.php?problem=1304,98,"maximum_bipartite_matching,7","max_flow,3",
Similar Trees (II),,1242,8.23,1.77,lightoj,http://lightoj.com/volume_showproblem.php?problem=1242,71,"maximum_bipartite_matching,7","max_flow,3",
