problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Monkey Banana Problem,classical,1004,3.25,6.75,lightoj,http://lightoj.com/volume_showproblem.php?problem=1004,3221,"basic_easy_dp,7",,
Rooks,,1005,3.3,6.7,lightoj,http://lightoj.com/volume_showproblem.php?problem=1005,2377,"basic_easy_dp,7","basic_permutation_combination, 6",
Neighbor House,classical,1047,3.36,6.64,lightoj,http://lightoj.com/volume_showproblem.php?problem=1047,2066,"basic_easy_dp,7",,
Marriage Ceremonies,,1011,3.41,6.59,lightoj,http://lightoj.com/volume_showproblem.php?problem=1011,1861,"bit_mask,8",,
Coin Change (I),,1231,3.47,6.53,lightoj,http://lightoj.com/volume_showproblem.php?problem=1231,1843,"coin_change,8",,
Generating Palindromes,,1033,3.52,6.48,lightoj,http://lightoj.com/volume_showproblem.php?problem=1033,1498,"longest_common_subsequence,8","basic_easy_dp,7",
Coin Change (II),,1232,3.58,6.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1232,1380,"coin_change,8",,
A Dangerous Maze,,1027,3.63,6.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1027,1376,"basic_probability,5","expected_value,7",
Brush (III),,1017,3.68,6.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1017,1271,"non_classical_dp,6",,
Love Calculator,,1013,3.74,6.26,lightoj,http://lightoj.com/volume_showproblem.php?problem=1013,1253,"longest_common_subsequence,8",,
Digit Count,,1122,3.79,6.21,lightoj,http://lightoj.com/volume_showproblem.php?problem=1122,1197,"basic_easy_dp,7",,
The Specials Menu,,1025,3.85,6.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1025,1164,"longest_common_subsequence,8","basic_easy_dp,7",
Discovering Gold,,1030,3.9,6.1,lightoj,http://lightoj.com/volume_showproblem.php?problem=1030,1141,"expected_value,7",,
Race to 1 Again,,1038,4.01,5.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1038,1010,"expected_value,7","basic_probability,5",
Palindrome Partitioning,,1044,4.06,5.94,lightoj,http://lightoj.com/volume_showproblem.php?problem=1044,977,"longest_common_subsequence,8",,
Easy Game,,1031,4.12,5.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1031,965,"non_classical_dp,6",,
An Easy LCS,,1110,4.17,5.83,lightoj,http://lightoj.com/volume_showproblem.php?problem=1110,932,"longest_common_subsequence,8",,
Painful Bases,,1021,4.23,5.77,lightoj,http://lightoj.com/volume_showproblem.php?problem=1021,930,"bit_mask,8",,
Fast Bit Calculations,,1032,4.28,5.72,lightoj,http://lightoj.com/volume_showproblem.php?problem=1032,913,"bit_mask,6","basic_math,6","pattern,6"
Investigation,,1068,4.33,5.67,lightoj,http://lightoj.com/volume_showproblem.php?problem=1068,903,"basic_math,6","non_classical_dp,6",
Agent 47,,1037,4.39,5.61,lightoj,http://lightoj.com/volume_showproblem.php?problem=1037,896,"bit_mask,8",,
Pimp My Ride,,1119,4.44,5.56,lightoj,http://lightoj.com/volume_showproblem.php?problem=1119,879,"bit_mask,8",,
How Many Zeroes?,,1140,4.5,5.5,lightoj,http://lightoj.com/volume_showproblem.php?problem=1140,876,"non_classical_dp,8",,
Batman,,1159,4.55,5.45,lightoj,http://lightoj.com/volume_showproblem.php?problem=1159,873,"longest_common_subsequence,8",,
Race,,1326,4.61,5.39,lightoj,http://lightoj.com/volume_showproblem.php?problem=1326,788,"non_classical_dp,6","basic_permutation_combination,5",
Good or Bad,,1051,4.66,5.34,lightoj,http://lightoj.com/volume_showproblem.php?problem=1051,761,"non_classical_dp,6",,
Brush (IV),,1018,4.71,5.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1018,742,"bit_mask,8",,
Neighbor House (II),,1217,4.77,5.23,lightoj,http://lightoj.com/volume_showproblem.php?problem=1217,728,"non_classical_dp,6",,
Collecting Gold,,1057,4.82,5.18,lightoj,http://lightoj.com/volume_showproblem.php?problem=1057,707,"bit_mask,8","dijkstra,8.5",
Throwing Dice,,1064,4.88,5.12,lightoj,http://lightoj.com/volume_showproblem.php?problem=1064,692,"basic_probability,5","non_classical_dp,6",
Arrange the Numbers,,1095,4.99,5.01,lightoj,http://lightoj.com/volume_showproblem.php?problem=1095,641,"non_classical_dp,6","basic_permutation_combination,5",
Divisible Group Sums,,1125,5.04,4.96,lightoj,http://lightoj.com/volume_showproblem.php?problem=1125,637,"non_classical_dp,6",,
Marbles,,1050,5.09,4.91,lightoj,http://lightoj.com/volume_showproblem.php?problem=1050,629,"non_classical_dp,6",,
Coin Change (III),,1233,5.15,4.85,lightoj,http://lightoj.com/volume_showproblem.php?problem=1233,627,"coin_change,8",,
Just another Robbery,,1079,5.2,4.8,lightoj,http://lightoj.com/volume_showproblem.php?problem=1079,625,"non_classical_dp,6","observation,6",
Monkeys on Twin Tower,,1169,5.31,4.69,lightoj,http://lightoj.com/volume_showproblem.php?problem=1169,589,"min_cost_max_flow,6.5",,
A Refining Company,,1036,5.37,4.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1036,568,"min_cost_max_flow,6.5",,
nth Permutation,,1060,5.47,4.53,lightoj,http://lightoj.com/volume_showproblem.php?problem=1060,557,"recursion,7","non_classical_dp,6",
Halloween Costumes,,1422,5.53,4.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1422,555,"non_classical_dp,8",,
Thief,,1200,5.58,4.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1200,533,"non_classical_dp,8",,
Fi Binary Number,,1105,5.64,4.36,lightoj,http://lightoj.com/volume_showproblem.php?problem=1105,499,"non_classical_dp,8",,
Be Efficient,,1134,5.69,4.31,lightoj,http://lightoj.com/volume_showproblem.php?problem=1134,497,"basic_greedy_knowledge,7","basic_math,6","non_classical_dp,8"
Dice (I),,1145,5.75,4.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1145,446,"basic_permutation_combination,8","non_classical_dp,6",
