problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Old Sorting,classical,1166,2.25,7.75,lightoj,http://lightoj.com/volume_showproblem.php?problem=1166,1505,"basic_greedy_knowledge,7",,
Brush (II),,1016,2.55,7.45,lightoj,http://lightoj.com/volume_showproblem.php?problem=1016,1350,"basic_greedy_knowledge,7",,
Get the Containers,,1076,2.86,7.14,lightoj,http://lightoj.com/volume_showproblem.php?problem=1076,1170,"basic_greedy_knowledge,7",,
Scarecrow,,1389,3.16,6.84,lightoj,http://lightoj.com/volume_showproblem.php?problem=1389,1117,"basic_greedy_knowledge,7",,
Conquering Keokradong,,1048,3.46,6.54,lightoj,http://lightoj.com/volume_showproblem.php?problem=1048,898,"basic_greedy_knowledge,7",,
Karate Competition,,1198,3.77,6.23,lightoj,http://lightoj.com/volume_showproblem.php?problem=1198,861,"basic_greedy_knowledge,7",,
The Monkey and the Oiled Bamboo,,1425,4.07,5.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1425,819,"basic_greedy_knowledge,7",,
Confusion in the Problemset,,1374,4.37,5.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1374,555,"basic_greedy_knowledge,7",,
Monitoring Processes,,1301,4.68,5.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1301,482,"basic_greedy_knowledge,7",,
A Gift from the Setter,,1328,4.98,5.02,lightoj,http://lightoj.com/volume_showproblem.php?problem=1328,440,"basic_greedy_knowledge,7",,
Palindromic Numbers (III),,1396,5.29,4.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1396,323,"basic_greedy_knowledge,7",,
Mafia,,1219,6.25,4.41,lightoj,http://lightoj.com/volume_showproblem.php?problem=1219,205,"basic_greedy_knowledge,7",,
Underwater Snipers,,1383,7.6,4.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1383,165,"basic_greedy_knowledge,7",,
Binary Matrix (II),,1363,8.5,3.8,lightoj,http://lightoj.com/volume_showproblem.php?problem=1363,55,"basic_greedy_knowledge,7",,
