problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Number Sequence,classical,1065,4.5,5.5,lightoj,http://lightoj.com/volume_showproblem.php?problem=1065,892,"matrix_exponentiation,8.5",,
nth Term,,1096,4.77,5.23,lightoj,http://lightoj.com/volume_showproblem.php?problem=1096,830,"matrix_exponentiation,8.5",,
Just Two Functions,,1131,5.04,4.96,lightoj,http://lightoj.com/volume_showproblem.php?problem=1131,607,"matrix_exponentiation,8.5",,
Algebraic Problem,,1070,5.31,4.69,lightoj,http://lightoj.com/volume_showproblem.php?problem=1070,586,"matrix_exponentiation,8.5",,
Summing up Powers,,1132,5.58,4.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1132,394,"matrix_exponentiation,8.5",,
Tiles,,1244,5.85,4.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1244,376,"matrix_exponentiation,8.5",,
Summing up Powers (II),,1142,6.12,3.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1142,290,"matrix_exponentiation,8.5",,
String Growth,,1052,6.38,3.62,lightoj,http://lightoj.com/volume_showproblem.php?problem=1052,289,"matrix_exponentiation,8.5",,
Unlucky Strings,,1268,6.65,3.35,lightoj,http://lightoj.com/volume_showproblem.php?problem=1268,233,"matrix_exponentiation,8.5",,
Kings in Chessboard,,1332,6.92,3.08,lightoj,http://lightoj.com/volume_showproblem.php?problem=1332,178,"matrix_exponentiation,8.5",,
Discovering Paths in Grid,,1160,7.19,2.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1160,153,"matrix_exponentiation,8.5",,
Krypton Number System,,1172,8.2,2.54,lightoj,http://lightoj.com/volume_showproblem.php?problem=1172,51,"matrix_exponentiation,8.5",,
Tetromino,,1376,8.7,2.27,lightoj,http://lightoj.com/volume_showproblem.php?problem=1376,15,"matrix_exponentiation,8.5",,
