problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Internet Bandwidth,1153,4.6,5.4,lightoj,http://lightoj.com/volume_showproblem.php?problem=1153,862,"max_flow,9.5",,
Power Transmission,1155,4.89,5.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1155,571,"max_flow,9.5",,
Getting a T-shirt,1176,5.19,4.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1176,461,"max_flow,7.5",,
Angry Programmer,1177,5.48,4.52,lightoj,http://lightoj.com/volume_showproblem.php?problem=1177,366,"max_flow,9.5",,
Penguins,1154,5.77,4.23,lightoj,http://lightoj.com/volume_showproblem.php?problem=1154,352,"max_flow,9.5",,
Jumping Frogs,1156,6.07,3.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1156,296,"max_flow,9.5",,
The Great Escape,1405,6.36,3.64,lightoj,http://lightoj.com/volume_showproblem.php?problem=1405,201,"max_flow,9.5",,
Dangerous Tunnels,1167,6.65,3.35,lightoj,http://lightoj.com/volume_showproblem.php?problem=1167,172,"max_flow,9.5",,
Space Shuttle Experiments,1286,6.95,3.05,lightoj,http://lightoj.com/volume_showproblem.php?problem=1286,170,"max_flow,9.5",,
Diagonal Sum,1262,7.24,2.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1262,165,"max_flow,9.5",,
Binary Matrix,1330,7.53,2.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1330,136,"max_flow,9.5",,
Winger Trial,1398,8.6,2.17,lightoj,http://lightoj.com/volume_showproblem.php?problem=1398,89,"max_flow,9.5",,
Component Placement,1361,8.6,1.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1361,89,"max_flow,9.5",,
Pizza and Inner Peace,1367,8.7,1.59,lightoj,http://lightoj.com/volume_showproblem.php?problem=1367,66,"max_flow,9.5",,
Aladdin and the Grand Feast,1350,9.2,1.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1350,38,"max_flow,9.5",,
