problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Digits of Factorial,classical,1045,2.5,7.5,lightoj,http://lightoj.com/volume_showproblem.php?problem=1045,3080,"factorial,7",,
False Ordering,classical,1109,2.67,7.33,lightoj,http://lightoj.com/volume_showproblem.php?problem=1109,2923,"divisor_theory,7",,
Large Division,classical,1214,2.84,7.16,lightoj,http://lightoj.com/volume_showproblem.php?problem=1214,2788,"divisor_theory,7",,
Mathematically Hard,,1007,3,7,lightoj,http://lightoj.com/volume_showproblem.php?problem=1007,1920,"euler_phi,8",,
Ifter Party,,1014,3.17,6.83,lightoj,http://lightoj.com/volume_showproblem.php?problem=1014,1871,"divisor_theory,7",,
Intelligent Factorial Factorization,,1035,3.34,6.66,lightoj,http://lightoj.com/volume_showproblem.php?problem=1035,1765,"factorization,7",,
Trailing Zeroes (III),,1138,3.51,6.49,lightoj,http://lightoj.com/volume_showproblem.php?problem=1138,1700,"factorization,7","binary_search,6",
Combinations,,1067,3.68,6.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1067,1687,"basic_permutation_combination,6","factorial,7","modular_inverse,6"
Trailing Zeroes (I),,1028,3.84,6.16,lightoj,http://lightoj.com/volume_showproblem.php?problem=1028,1574,"factorizatio,6","sieve,6",
Goldbach`s Conjecture,,1259,4.01,5.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1259,1288,"prime_number,7","sieve,6",
Trailing Zeroes (II),,1090,4.18,5.82,lightoj,http://lightoj.com/volume_showproblem.php?problem=1090,1150,"basic_permutation_combination,6","factorizatio,6","sieve,6"
How Many Points?,,1077,4.35,5.65,lightoj,http://lightoj.com/volume_showproblem.php?problem=1077,1082,"gcd,8",,
Efficient Pseudo Code,,1054,4.52,5.48,lightoj,http://lightoj.com/volume_showproblem.php?problem=1054,1065,"sieve,6","modular_inverse,6",
Finding LCM,,1215,4.68,5.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1215,1015,"gcd,8","lcm,8",
Harmonic Number,,1234,4.85,5.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1234,942,"basic_math,7",,
Eid,,1024,5.02,4.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1024,853,"sieve,6","factorizatio,6",
Help Hanzo,,1197,5.19,4.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1197,840,"sieve,8",,
A New Function,,1098,5.36,4.64,lightoj,http://lightoj.com/volume_showproblem.php?problem=1098,773,"divisor_theory,7",,
Mysterious Bacteria,,1220,5.52,4.48,lightoj,http://lightoj.com/volume_showproblem.php?problem=1220,763,"sieve,6","factorizatio,6",
Harmonic Number (II),,1245,5.69,4.31,lightoj,http://lightoj.com/volume_showproblem.php?problem=1245,706,"divisor_theory,7",,
Leading and Trailing,,1282,5.86,4.14,lightoj,http://lightoj.com/volume_showproblem.php?problem=1282,681,"basic_math,7","big_mod,6",
Fantasy of a Summation,,1213,6.03,3.97,lightoj,http://lightoj.com/volume_showproblem.php?problem=1213,660,"big_mod,7",,
Bank Robbery,,1163,6.2,3.8,lightoj,http://lightoj.com/volume_showproblem.php?problem=1163,633,"basic_math,7",,
Pairs Forming LCM,,1236,6.37,3.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1236,569,"sieve,6","factorizatio,6",
LCM from 1 to n,,1289,6.53,3.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1289,568,"sieve,6","factorizatio,6","binary_search,8"
Sum of Consecutive Integers,,1278,6.7,3.3,lightoj,http://lightoj.com/volume_showproblem.php?problem=1278,556,"sieve,6","factorizatio,6","divisor_theory,7"
Bi-shoe and Phi-shoe,,1370,6.87,3.13,lightoj,http://lightoj.com/volume_showproblem.php?problem=1370,499,"euler_phi,8",,
Sigma Function,,1336,7.04,2.96,lightoj,http://lightoj.com/volume_showproblem.php?problem=1336,484,"binary_search,8","sieve,6","euler_phi,8"
Aladdin and the Flying Carpet,,1341,7.21,2.79,lightoj,http://lightoj.com/volume_showproblem.php?problem=1341,472,"sieve,6","divisor_theory,7","factorizatio,6"
Story of Tomisu Ghost,,1340,7.54,2.46,lightoj,http://lightoj.com/volume_showproblem.php?problem=1340,274,"sieve,6","divisor_theory,7","factorizatio,6"
Grid Coloring,,1333,7.71,2.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1333,232,"big_mod,6","basic_permutation_combination,7",
Prime Independence,,1356,7.88,2.12,lightoj,http://lightoj.com/volume_showproblem.php?problem=1356,218,"maximum_bipartite_matching,7","sieve,6","dfs,6"
LCM Extreme,,1375,8.05,1.95,lightoj,http://lightoj.com/volume_showproblem.php?problem=1375,204,"euler_phi,8","gcd,8","lcm,8"
Strange Game,,1318,8.21,1.79,lightoj,http://lightoj.com/volume_showproblem.php?problem=1318,118,"big_mod,7","sieve,6","basic_permutation_combination,7"
