problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Array Queries,1082,4.5,5.5,lightoj,http://lightoj.com/volume_showproblem.php?problem=1082,3179,"segment_tree,7.5",,
Curious Robin Hood,1112,4.67,5.33,lightoj,http://lightoj.com/volume_showproblem.php?problem=1112,2555,"segment_tree,7.5",,
Binary Simulation,1080,4.85,5.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1080,1988,"segment_tree,7.5",,
Horrible Queries,1164,5.02,4.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1164,1478,"segment_tree,7.5",,
Ghajini,1093,5.2,4.8,lightoj,http://lightoj.com/volume_showproblem.php?problem=1093,1440,"segment_tree,7.5","basic_stl,7.5",
Histogram,1083,5.37,4.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1083,1387,"segment_tree,7.5","binary_index_tree,7.5",
Diablo,1087,5.54,4.46,lightoj,http://lightoj.com/volume_showproblem.php?problem=1087,1123,"segment_tree,7.5",,
All Possible Increasing Subsequences,1085,5.72,4.28,lightoj,http://lightoj.com/volume_showproblem.php?problem=1085,1104,"segment_tree,7.5",,
Points in Segments (II),1089,5.89,4.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1089,934,"segment_tree,7.5",,
Computing Fast Average,1183,6.07,3.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1183,880,"segment_tree,7.5",,
Count the Multiples of 3,1135,6.24,3.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1135,873,"segment_tree,7.5",,
Fast Queries,1188,6.41,3.59,lightoj,http://lightoj.com/volume_showproblem.php?problem=1188,829,"segment_tree,7.5",,
Posters for Election,1207,6.59,3.41,lightoj,http://lightoj.com/volume_showproblem.php?problem=1207,662,"segment_tree,7.5",,
Lucky Number,1097,6.76,3.24,lightoj,http://lightoj.com/volume_showproblem.php?problem=1097,622,"segment_tree,7.5","binary_search,3.5",
Aladdin and the Return Journey,1348,6.93,3.07,lightoj,http://lightoj.com/volume_showproblem.php?problem=1348,608,"segment_tree,7.5","heavy_light_decomposition,8",
Lining up Students,1187,7.11,2.89,lightoj,http://lightoj.com/volume_showproblem.php?problem=1187,511,"segment_tree,7.5",,
Strongest Community,1339,7.28,2.72,lightoj,http://lightoj.com/volume_showproblem.php?problem=1339,505,"segment_tree,7.5",,
New Land,1424,7.46,2.54,lightoj,http://lightoj.com/volume_showproblem.php?problem=1424,398,"segment_tree,7.5",,
Rectangle Union,1120,7.63,2.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1120,282,"segment_tree,7.5",,
Castle Walls,1103,7.8,2.2,lightoj,http://lightoj.com/volume_showproblem.php?problem=1103,278,"segment_tree,7.5",,
Rip Van Winkle`s Code,1411,7.98,2.02,lightoj,http://lightoj.com/volume_showproblem.php?problem=1411,166,"segment_tree,7.5",,
Weird Advertisement,1204,8.33,1.67,lightoj,http://lightoj.com/volume_showproblem.php?problem=1204,86,"segment_tree,7.5",,
