problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Bertown roads,,118/E,5,,,https://codeforces.com/contest/118/problem/E,,"articulation_bridge,8",,,
Network,classical,315,4.5,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=251,,"articulation_bridge,8",,,
Critical Links,classical,796,4.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=737,,"articulation_bridge,8",,,
Hedge Mazes,,12363,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3785,,"articulation_bridge,8",,,
Online Bridge Searching,,ONBRIDGE,5.5,,,https://www.spoj.com/problems/ONBRIDGE/,,"articulation_bridge,8",,,
Tourist Reform,,732/F,7,,,https://codeforces.com/contest/732/problem/F,,"articulation_bridge,8",,,
Break Up,,700/C,7,,,https://codeforces.com/contest/700/problem/C,,"articulation_bridge,8",,,
Critical Edges,,EC_P,5,,,https://www.spoj.com/problems/EC_P/,,"articulation_bridge,8",,,
Submerging Islands,,SUBMERGE,5,,,https://www.spoj.com/problems/SUBMERGE/,,"articulation_bridge,8",,,
King Graffs Defense,,GRAFFDEF,6,,,https://www.spoj.com/problems/GRAFFDEF/,,"articulation_bridge,8",,,
We Need More Bosses,,1000/E,7,,,https://codeforces.com/contest/1000/problem/E,,"articulation_bridge,8",,,
