problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Ada and Teams,,ADATEAMS,3.5,,,https://www.spoj.com/problems/ADATEAMS/,,"basic_permutation_combination,8",,,
Ada and Expenses,,ADASUM,4,,,https://www.spoj.com/problems/ADASUM/,,"basic_permutation_combination,8",,,
Nauuo and Circle,,1173/D,4,,,https://codeforces.com/contest/1173/problem/D,,"basic_permutation_combination,7",,,
Tiles,classical,1178/C,3,,,https://codeforces.com/contest/1178/problem/C,,"basic_permutation_combination,7","basic_greedy_knowledge,6",,
Even Numbers,,gym/101972/problem/J,4,,,https://codeforces.com/gym/101972/problem/J,,"basic_permutation_combination,7",,,
Secret Project,,gym/101972/problem/I,5,,,https://codeforces.com/gym/101972/problem/I,,"basic_permutation_combination,7",,,
Get away from me!,,gym/101628/problem/G,5,,,https://codeforces.com/gym/101628/problem/G,,"basic_permutation_combination,7",,,
Group work,classical,gym/101879/problem/E,2,,,https://codeforces.com/gym/101879/problem/E,,"basic_permutation_combination,7",,,
Random Sort,,gym/101808/problem/F,3,,,https://codeforces.com/gym/101808/problem/F,,"basic_permutation_combination,7",,,
Matrix,,364/A,4,,,https://codeforces.com/problemset/problem/364/A,,"basic_permutation_combination,7","implementation,9",,
Lucky Pair,,145/D,7,,,https://codeforces.com/contest/145/problem/D,,"basic_permutation_combination,7","implementation,9",,
Segments,,909/B,3,,,https://codeforces.com/contest/909/problem/B,,"basic_permutation_combination,7",,,
The World is a Theatre,,131/C,3,,,https://codeforces.com/contest/131/problem/C,,"basic_permutation_combination,7",,,
Opposites Attract,classical,131/B,2,,,https://codeforces.com/contest/131/problem/B,,"basic_permutation_combination,7",,,
Games with Rectangle,,129/E,5,,,https://codeforces.com/contest/129/problem/E,,"basic_permutation_combination,7","non_classical_dp,5",,
Petya and Coloring,,111/D,5,,,https://codeforces.com/contest/111/problem/D,,"basic_permutation_combination,7","non_classical_dp,5",,
String Mark,,895/D,4,,,https://codeforces.com/contest/895/problem/D,,"basic_permutation_combination,7","non_classical_dp,5",,
Counting Arrays,,893/E,5.5,,,https://codeforces.com/contest/893/problem/E,,"basic_permutation_combination,7","non_classical_dp,5","basic_math,6",
Ralph And His Magic Field,,894/B,4.5,,,https://codeforces.com/contest/894/problem/B,,"basic_permutation_combination,7","constructive_algorithm,6","basic_math,6",
Maximum Element,,890/E,6,,,https://codeforces.com/contest/890/problem/E,,"basic_permutation_combination,7","non_classical_dp,5",,
Right Triangles,,52/B,4,,,https://codeforces.com/contest/52/problem/B,,"basic_permutation_combination,7",,,
Bacterial Melee,,760/F,7,,,https://codeforces.com/contest/760/problem/F,,"basic_permutation_combination,7",,,
Tri Tiling,,10918,4.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=1859,,"basic_permutation_combination,7",,,
Simply Loopy,,12576,4.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4021,,"basic_permutation_combination,7",,,
Parity,,10931,5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1872,,"basic_permutation_combination,7",,,
