problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Ada and Cycle,classical,ADACYCLE,3.5,,,https://www.spoj.com/problems/ADACYCLE/,,"bfs,9",,,
Find the path,,gym/101992/problem/H,4.5,,,https://codeforces.com/gym/101992/problem/H,,"bfs,9",,,
Bear and Forgotten Tree 2,,653/E,6.5,,,https://codeforces.com/contest/653/problem/E,,"bfs,9",,,
Cycle In Maze,,769/C,5,,,https://codeforces.com/contest/769/problem/C,,"bfs,9",,,
Police Stations,,796/D,5.5,,,https://codeforces.com/contest/796/problem/D,,"bfs,6","non_classical_dp,5","constructive_algorithm,6","dfs,6"
Okabe and City,,821/D,5.5,,,https://codeforces.com/contest/821/problem/D,,"bfs,6","dfs,6",,
Find the Treasure,,DIGOKEYS,4.5,,,https://www.spoj.com/problems/DIGOKEYS/,,"bfs,9",,,
Spiky Mazes,classical,SPIKES,3.5,,,https://www.spoj.com/problems/SPIKES/,,"bfs,9",,,
Yet Another Multiple Problem,,MULTII,4.5,,,https://www.spoj.com/problems/MULTII/,,"bfs,9",,,
Four Chips (Hard),,ADV04F1,5.5,,,https://www.spoj.com/problems/ADV04F1/,,"bfs,9",,,
Inversion Sort,,INVESORT,5.5,,,https://www.spoj.com/problems/INVESORT/,,"bfs,9",,,
Shortest Path,,59/E,6,,,https://codeforces.com/contest/59/problem/E,,"bfs,9",,,
Olya and Energy Drinks,,877/D,4.5,,,https://codeforces.com/contest/877/problem/D,,"bfs,9","dfs,6",,
Beehives,,12544,4.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3989,,"bfs,9",,,
Flipping Frustration,,11312,4.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2287,,"bfs,9",,,
Binary*3 Type Multiple,,11392,4,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2387,,"bfs,9",,,
KuPellaKeS,,10968,3.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=1909,,"bfs,9",,,
Warehouse,,10888,4.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1829,,"bfs,9",,,
Enchanted Forest,,10977,3,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1918,,"bfs,9",,,
Eternal Truths,,928,3,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=869,,"bfs,9",,,
Multistory Labyrinth,,13116,4,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=5027,,"bfs,9",,,
Robot,,314,3,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=250,,"bfs,9",,,
Gathering Food,,11487,4,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2482,,"bfs,9",,,
Maze Escape,,11931,5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3082,,"bfs,9",,,
Knight Move,,KNMOVE,3,,,https://www.spoj.com/problems/KNMOVE/,,"bfs,9",,,
Grid,,SERGRID,3,,,https://www.spoj.com/problems/SERGRID/,,"bfs,9",,,
Minimum Knight moves !!!,,NAKANJ,3,,,https://www.spoj.com/problems/NAKANJ/,,"bfs,9",,,
C You and Me,,PUCMM223,4,,,https://www.spoj.com/problems/PUCMM223/,,"bfs,9",,,
A Famous Grid,,SPIRALGR,4,,,https://www.spoj.com/problems/SPIRALGR/,,"bfs,9",,,
Meeting For Party,,DCEPC706,4,,,https://www.spoj.com/problems/DCEPC706/,,"bfs,9",,,
Fire Again,,35/C,3,,,https://codeforces.com/contest/35/problem/C,,"bfs,9",,,
