problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Pretests,,gym/102006/problem/F,6,,,https://codeforces.com/gym/102006/problem/F,,"bit_manipulation,8",,,
Switches,,gym/101908/problem/I,2,,,https://codeforces.com/gym/101908/problem/I,,"bit_manipulation,8",,,
Short Program,,879/C,3,,,https://codeforces.com/contest/879/problem/C,,"bit_manipulation,8","constructive_algorithm,6",,
Binary Number,,92/B,3.3,,,https://codeforces.com/contest/92/problem/B,,"bit_manipulation,8","basic_greedy_knowledge,6",,
Shockers,,907/C,3.5,,,https://codeforces.com/contest/907/problem/C,,"bit_manipulation,8","implementation,6",,
Informants,,11659,4,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2706,,"bit_manipulation,8",,,
Set of Marbles,,11535,4,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2530,,"bit_manipulation,8",,,
Bitwise Formula,,779/E,5,,,https://codeforces.com/contest/779/problem/E,,"bit_manipulation,8","basic_greedy_knowledge,6",,
Even Numbers,,EC_CONB,1,,,https://www.spoj.com/problems/EC_CONB/,,"bit_manipulation,8",,,
k-Interesting Pairs Of Integers,,769/D,4,,,https://codeforces.com/contest/769/problem/D,,"bit_manipulation,8","meet_in_the_middle,6",,
Play with Binary Numbers,,HAP01,2,,,https://www.spoj.com/problems/HAP01/,,"bit_manipulation,8",,,
Mahmoud and Ehab and the xor,,862/C,4.5,,,https://codeforces.com/contest/862/problem/C,,"bit_manipulation,8","constructive_algorithm,6",,
Kompići,,KOMPICI,4,,,https://www.spoj.com/problems/KOMPICI/,,"bit_manipulation,8",,,
Ada and Coins,,ADACOINS,5.5,,,https://www.spoj.com/problems/ADACOINS/,,"bit_manipulation,8",,,
Ada and Cherry,,ADACHERY,5.5,,,https://www.spoj.com/problems/ADACHERY/,,"bit_manipulation,8",,,
Ada and Furrows,,ADAFUROW,5.5,,,https://www.spoj.com/problems/ADAFUROW/,,"bit_manipulation,8",,,
Count The Rectangles,,1194/E,6,,,https://codeforces.com/contest/1194/problem/E,,"bit_manipulation,8",,,
Tetrahedrons in the country,,TTRGRAPH,4,,,https://www.spoj.com/problems/TTRGRAPH/,,"bit_manipulation,8",,,
Count Pairs,,ILD18ACP,5,,,https://www.spoj.com/problems/ILD18ACP/,,"bit_manipulation,8",,,
Substrings in a String,,914/F,9.5,,,https://codeforces.com/contest/914/problem/F,,"bit_manipulation,8",,,
Cycle,,117/C,5,,,https://codeforces.com/contest/117/problem/C,,"bit_manipulation,8","dfs,6","bfs,6",
Dasha and cyclic table,,754/E,8,,,https://codeforces.com/contest/754/problem/E,,"bit_manipulation,8","fft,7",,
Good,,UCBINTC,5,,,https://www.spoj.com/problems/UCBINTC/,,"bit_manipulation,8",,,
Knights,,33/D,5.5,,,https://codeforces.com/contest/33/problem/D,,"bit_manipulation,8",,,
The Monster,,918/C,5,,,https://codeforces.com/contest/918/problem/C,,"bit_manipulation,8","basic_greedy_knowledge,6","basic_math,6","non_classical_dp,5"
