problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Welfare State,,1199/D,5,,,https://codeforces.com/contest/1199/problem/D,,"sqrt_decomposition,8","implementation,8",,
Impress zing,,ZING01,6,,,https://www.spoj.com/problems/ZING01/,,"sqrt_decomposition,8",,,
Jamie and To-do List,,916/D,7,,,https://codeforces.com/contest/916/problem/D,,"sqrt_decomposition,8",,,
Give Away,,GIVEAWAY,8,,,https://www.spoj.com/problems/GIVEAWAY/,,"sqrt_decomposition,8","binary_search,8","segment_tree,8","trie,8"
Till I Collapse,,786/C,7,,,https://codeforces.com/contest/786/problem/C,,"sqrt_decomposition,8",,,
Destiny,,840/D,7,,,https://codeforces.com/contest/840/problem/D,,"sqrt_decomposition,8","basic_probability,8",,
Holes,,13/E,8,,,https://codeforces.com/contest/13/problem/E,,"sqrt_decomposition,8","union_find,8",,
Sum of Medians,,85/D,5,,,https://codeforces.com/contest/85/problem/D,,"sqrt_decomposition,8","binary_search,8","implementation,8",
Array Transformer,,12003,8,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3154,,"sqrt_decomposition,8",,,
``Dynamic'' Inversion,,11990,6.5,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3141,,"sqrt_decomposition,8",,,
Subtree Minimum Query,,893/F,7,,,https://codeforces.com/contest/893/problem/F,,"persistent_data_structure,8",,,
Army Creation,,813/E,7,,,https://codeforces.com/contest/813/problem/E,,"persistent_data_structure,8","binary_search,8",,
Subtree Minimum Query,,893/F,7,,,https://codeforces.com/contest/893/problem/F,,"persistent_data_structure,8",,,
Gotham PD,,GPD,7.5,,,https://www.codechef.com/problems/GPD,,"persistent_data_structure,8",,,
Count on a tree,,COT,7,,,https://www.spoj.com/problems/COT/,,"persistent_data_structure,8",,,
Cloning,,CLONEME,8,,,https://www.codechef.com/problems/CLONEME,,"persistent_data_structure,8",,,
Noble Knight's Path,,226/E,9,,,https://codeforces.com/problemset/problem/226/E,,"persistent_data_structure,8",,,
Gao on a tree,,GOT,8,,,https://www.spoj.com/problems/GOT/,,"persistent_data_structure,8",,,
Race Against Time,,RACETIME,6.5,,,https://www.spoj.com/problems/RACETIME/,,"persistent_data_structure,8",,,
K-query II,,KQUERY2,6,,,https://www.spoj.com/problems/KQUERY2/,,"sqrt_decomposition,8",,,
SAD Queries,,SADQ,8,,,https://www.codechef.com/problems/SADQ,,"sqrt_decomposition,8","heavy_light_decomposition,8",,
Query on a tree,classical,QTREE,7,,,https://www.spoj.com/problems/QTREE/,,"heavy_light_decomposition,8","implementation,8",,
Answering Queries on a Tree,,12424,7.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=18&page=show_problem&problem=3855,,"heavy_light_decomposition,8","implementation,8",,
Chef and Tree,,CHEFTREE,8.5,,,https://www.codechef.com/problems/CHEFTREE,,"heavy_light_decomposition,8","implementation,8",,
Tree,,RRTREE,8.5,,,https://www.codechef.com/problems/RRTREE,,"heavy_light_decomposition,8","implementation,8",,
The Christmas Cookies,,KOL1507,8,,,https://www.codechef.com/problems/KOL1507,,"heavy_light_decomposition,8","implementation,8",,
Queries on tree again!,,QTREE,8,,,https://www.codechef.com/problems/QTREE,,"heavy_light_decomposition,8","implementation,8",,
D-query,,DQUERY,6.5,,,https://www.spoj.com/problems/DQUERY/,,"mo_algorithm,8",,,
Powerful array,,86/D,7,,,https://codeforces.com/problemset/problem/86/D,,"mo_algorithm,8",,,
Zero Query,,ZQUERY,7,,,https://www.spoj.com/problems/ZQUERY/,,"mo_algorithm,8","non_classical_dp,8",,
Angry Siam,,HRSIAM,7.5,,,https://www.spoj.com/problems/HRSIAM/,,"mo_algorithm,8",,,
One Occurrence,,1000/F,7.5,,,https://codeforces.com/problemset/problem/1000/F,,"mo_algorithm,8",,,
Machine Learning,,940/F,8,,,https://codeforces.com/problemset/problem/940/F,,"mo_algorithm,8",,,
Most Frequent Value,,FREQ2,8.5,,,https://www.spoj.com/problems/FREQ2/,,"mo_algorithm,8",,,
Sum of Distinct Numbers,,XXXXXXXX,8.5,,,https://www.spoj.com/problems/XXXXXXXX/,,"mo_algorithm,8",,,
Dynamic len(set(a[L:R])),,12345,9,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=18&page=show_problem&problem=3767,,"mo_algorithm,8",,,
