problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Ada and Island,,ADASEA,6,,,https://www.spoj.com/problems/ADASEA/,,"dfs,8","expected_value,6",,
Cover it!,,1176/E,4,,,https://codeforces.com/contest/1176/problem/E,,"dfs,8","union_find,8",,
Vus the Cossack and a Graph,,1186/F,6.5,,,https://codeforces.com/contest/1186/problem/F,,"dfs,8","basic_greedy_knowledge,6","implementation,6",
Add on a Tree: Revolution,,1189/D2,7,,,https://codeforces.com/contest/1189/problem/D2,,"dfs,8","implementation,6",,
Popatlal ki shaadi,,CHUNK2,3,,,https://www.spoj.com/problems/CHUNK2/,,"dfs,8",,,
Boomerangs,,gym/102001/problem/K,4.5,,,https://codeforces.com/gym/102001/problem/K,,"dfs,8",,,
Updating the Tree,,gym/101972/problem/B,6.5,,,https://codeforces.com/gym/101972/problem/B,,"dfs,8",,,
Equilibrium Mobile,,12166,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=3318,,"dfs,8","non_classical_dp,7","observation,7",
Connected Components?,,920/E,5.5,,,https://codeforces.com/contest/920/problem/E,,"dfs,8","union_find,7",,
Almost Acyclic Graph,,915/D,6.5,,,https://codeforces.com/contest/915/problem/D,,"dfs,8",,,
Counting Child,,CTTC,3,,,https://www.spoj.com/problems/CTTC/,,"dfs,8",,,
Islands,,1665,3.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&category=854&page=show_problem&problem=4540,,"dfs,8","flood_fill,7",,
Weighting a Tree,,901/D,8,,,https://codeforces.com/contest/901/problem/D,,"dfs,8","constructive_algorithm,8",,
Coloring a Tree,,902/B,3,,,https://codeforces.com/contest/902/problem/B,,"dfs,8","union_find,8","basic_greedy_knowledge,6",
Spiders,,120/F,3.5,,,https://codeforces.com/contest/120/problem/F,,"dfs,8","basic_greedy_knowledge,6","non_classical_dp,7",
Party,,116/C,2,,,https://codeforces.com/contest/116/problem/C,,"dfs,8",,,
Christmas Tree,,13274,3,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=5198,,"dfs,8",,,
Escape,,1695,9,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4570,,"dfs,8",,,
Rumor,,893/C,3,,,https://codeforces.com/contest/893/problem/C,,"dfs,8","basic_greedy_knowledge,6",,
Bertown Subway,,884/C,3.5,,,https://codeforces.com/contest/884/problem/C,,"dfs,8","basic_greedy_knowledge,6","basic_math,7",
Orientation of Edges,,883/G,5,,,https://codeforces.com/contest/883/problem/G,,"dfs,8",,,
Serial Time!,,60/B,3,,,https://codeforces.com/contest/60/problem/B,,"dfs,8","union_find,8",,
Mushroom Strife,,60/C,4.5,,,https://codeforces.com/contest/60/problem/C,,"dfs,8",,,
The die is cast,,657,4,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=598,,"dfs,8",,,
Another Crisis,,12186,3.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=3338,,"dfs,8",,,
Anton and Tree,,734/E,5.5,,,https://codeforces.com/contest/734/problem/E,,"dfs,8","non_classical_dp,7",,
Transformation: from A to B,,727/A,2.5,,,https://codeforces.com/contest/727/problem/A,,"dfs,8","basic_math,7",,
One-Way Reform,,723/E,7,,,https://codeforces.com/contest/723/problem/E,,"dfs,8","constructive_algorithm,8","basic_greedy_knowledge,6","max_flow,7"
Centroids,,709/E,7.5,,,https://codeforces.com/contest/709/problem/E,,"dfs,8","non_classical_dp,7",,
Generate a String,,710/E,5,,,https://codeforces.com/contest/710/problem/E,,"dfs,8","non_classical_dp,7",,
Broken Tree,,758/E,8.5,,,https://codeforces.com/contest/758/problem/E,,"dfs,8","basic_greedy_knowledge,6","non_classical_dp,7",
Satisfying Constraints,,11323,5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2298,,"dfs,8",,,
Frodo and pillows,,760/B,3.5,,,https://codeforces.com/contest/760/problem/B,,"dfs,8","basic_greedy_knowledge,6",,
Dasha and Puzzle,,761/E,6,,,https://codeforces.com/contest/761/problem/E,,"dfs,8","basic_greedy_knowledge,6","constructive_algorithm,8",
Making Genome in Berland,,638/B,3,,,https://codeforces.com/contest/638/problem/B,,"dfs,8",,,
Road Improvement,,638/C,4.5,,,https://codeforces.com/contest/638/problem/C,,"dfs,8","basic_greedy_knowledge,6",,
Three-dimensional Turtle Super Computer,,638/D,5,,,https://codeforces.com/contest/638/problem/D,,"dfs,8",,,
Garland,,767/C,5,,,https://codeforces.com/contest/767/problem/C,,"dfs,8",,,
Underground Lab,,781/C,5.5,,,https://codeforces.com/contest/781/problem/C,,"dfs,8","constructive_algorithm,8",,
Labelling Cities,,794/D,6.5,,,https://codeforces.com/contest/794/problem/D,,"dfs,8","hashing,8",,
Send the Fool Further! (medium),,802/K,5.5,,,https://codeforces.com/contest/802/problem/K,,"dfs,8","non_classical_dp,7",,
The Tag Game,,813/C,3.5,,,https://codeforces.com/contest/813/problem/C,,"dfs,8",,,
Leha and another game about graph,,841/D,5.5,,,https://codeforces.com/contest/841/problem/D,,"dfs,8",,,
Shortest Path Problem?,,845/G,6.5,,,https://codeforces.com/contest/845/problem/G,,"dfs,8","basic_math,7",,
Upgrading Tree,,844/E,7.5,,,https://codeforces.com/contest/844/problem/E,,"dfs,8",,,
Cactus,,CAC,5,,,https://www.spoj.com/problems/CAC/,,"dfs,8",,,
From Y to Y,,849/C,3,,,https://codeforces.com/contest/849/problem/C,,"dfs,8",,,
Chemistry in Berland,,846/E,6.5,,,https://codeforces.com/contest/846/problem/E,,"dfs,8","basic_greedy_knowledge,6",,
Sheep,,KOZE,3,,,https://www.spoj.com/problems/KOZE/,,"dfs,8",,,
Path of the righteous man,,RIOI_2_3,4,,,https://www.spoj.com/problems/RIOI_2_3/,,"dfs,8",,,
VALIDATE THE MAZE,,MAKEMAZE,3,,,https://www.spoj.com/problems/MAKEMAZE/,,"dfs,8",,,
Wizard's Tour,,861/F,6.5,,,https://codeforces.com/contest/861/problem/F,,"dfs,8",,,
Ghosts having fun,,GHOSTS,3,,,https://www.spoj.com/problems/GHOSTS/,,"dfs,8",,,
Mixing Chemicals,,AMR10J,5,,,https://www.spoj.com/problems/AMR10J/,,"dfs,8",,,
Ring road,,24/A,3,,,https://codeforces.com/contest/24/problem/A,,"dfs,8",,,
Mail Stamps,,29/C,3.5,,,https://codeforces.com/contest/29/problem/C,,"dfs,8","implementation,6",,
Ant on the Tree,,29/D,4,,,https://codeforces.com/contest/29/problem/D,,"dfs,8","constructive_algorithm,8",,
