problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Ada and Trip,classical,ADATRIP,4,,,https://www.spoj.com/problems/ADATRIP/,,"dijkstra,8",,,
Find the Inn,,gym/101628/problem/f,4.5,,,https://codeforces.com/gym/101628/problem/f,,"dijkstra,8",,,
Jinping Trains,,gym/101845/problem/J,5.5,,,https://codeforces.com/gym/101845/problem/J,,"dijkstra,8",,,
Optimizing Transportation in Portugal,,gym/101879/problem/F,9,,,https://codeforces.com/gym/101879/problem/F,,"dijkstra,8",,,
Missile Silos,,144/D,5,,,https://codeforces.com/contest/144/problem/D,,"dijkstra,8",,,
Adrita and Her Bike Ride,,ADRABR,3.5,,,https://www.spoj.com/problems/ADRABR/,,"dijkstra,8",,,
Take-off Ramps,,141/D,7,,,https://codeforces.com/contest/141/problem/D,,"dijkstra,8",,,
Subway,,10389,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1330,,"dijkstra,8",,,
Even Obsession,,12950,6,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4829,,"dijkstra,8",,,
Brain Fry,,13030,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=4918,,"dijkstra,8",,,
Toll,,1027,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3468,,"dijkstra,8",,,
Airport Setup,,11377,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2372,,"dijkstra,8",,,
Dynamic Shortest Path,,843/D,9.9,,,https://codeforces.com/problemset/problem/843/D,,"dijkstra,8",,,
Shopping,,11813,7,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2913,,"dijkstra,8",,,
Route Change,,11833,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2933,,"dijkstra,8",,,
Easy Dijkstra Problem,,EZDIJKST,6,,,https://www.spoj.com/problems/EZDIJKST/en/,,"dijkstra,8",,,
Galactic taxes,,13010,7.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=4898,,"dijkstra,8","ternary_search,8",,
Almost Shortest Path,,12144,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=3296,,"dijkstra,8",,,
Complete The Graph,,716/D,7.5,,,https://codeforces.com/contest/716/problem/D,,"dijkstra,8",,,
Team Rocket Rises Again,,757/F,8.9,,,https://codeforces.com/contest/757/problem/F,,"dijkstra,8",,,
Highest Paid Toll,,12047,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=3198,,"dijkstra,8",,,
Batman,,11514,5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2509,,"dijkstra,8",,,
Minefield,,11338,6.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2313,,"dijkstra,8",,,
Airport Express,,11374,5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2369,,"dijkstra,8",,,
Poor My Problem! :-(,,11097,5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2038,,"dijkstra,8",,,
The music teacher,,13172,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=5083,,"dijkstra,8",,,
Travel in Desert,,10816,5,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1757,,"dijkstra,8",,,
Dirty Arkady's Kitchen,,827/F,9.2,,,https://codeforces.com/contest/827/problem/F,,"dijkstra,8","non_classical_dp,8",,
Delivery Route,,DELIVER,5.5,,,https://www.spoj.com/problems/DELIVER/,,"dijkstra,8",,,
COSTLY CHESS,,CCHESS,4.5,,,https://www.spoj.com/problems/CCHESS/,,"dijkstra,8",,,
Sending email,,10986,4,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1927,,"dijkstra,8",,,
Number Maze,,929,4.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=870,,"dijkstra,8",,,
Fire Station,,10278,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1219,,"dijkstra,8",,,
Rough Roads,,10356,6,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1297,,"dijkstra,8",,,
Full Tank?,,11367,6,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2352,,"dijkstra,8",,,
