problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Ada and Travelling Salesman,,ADASALES,5,2,,https://www.spoj.com/problems/ADASALES/,,"tree_dp,9",,,
Tree Painting,,1187/E,6,2,,https://codeforces.com/contest/1187/problem/E,,"tree_dp,9","dfs,8",,
Vertex Cover,,PT07X,4,2,,https://www.spoj.com/problems/PT07X/,,"tree_dp,9",,,
Pairs,,81/E,7.5,2,,https://codeforces.com/contest/81/problem/E,,"tree_dp,9","union_find,6","implementation,8","dfs,8"
Eternal Victory,,61/D,4.5,2,,https://codeforces.com/contest/61/problem/D,,"tree_dp,9","dfs,8","basic_greedy_knowledge,8",
Torque and edges,,TRANDED,5,2,,https://www.codechef.com/problems/TRANDED,,"tree_dp,9","dfs,8",,
Golden Coins,,13089,5,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=4987,,"tree_dp,9","dfs,8",,
Helga Hufflepuff's Cup,,855/C,5.5,2,,https://codeforces.com/problemset/problem/855/C,,"tree_dp,9","dfs,8",,
Andrew and Chemistry,,718/D,9,2,,https://codeforces.com/problemset/problem/718/D,,"tree_dp,9","dfs,8","hashing,8",
Two Coins,,TWOCOINS,7,2,,https://www.codechef.com/problems/TWOCOINS,,"tree_dp,9","dfs,8",,
Arpa’s letter-marked tree and Mehrdad’s Dokhtar-kosh paths,,741/D,9,2,,https://codeforces.com/problemset/problem/741/D,,"tree_dp,9","dfs,8",,
Super M,,592/D,6,2,,https://codeforces.com/problemset/problem/592/D,,"tree_dp,9","dfs,8",,
Tom & Jerry,,TOMJERGA,7,2,,https://www.codechef.com/problems/TOMJERGA,,"tree_dp,9","dfs,8",,
Party at Hali-Bula,,1220,5.5,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=3661,,"tree_dp,9","dfs,8",,
Plants vs. Zombies HD SP,,12452,6,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3883,,"tree_dp,9","dfs,8",,
Ancestors,,12466,6,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3910,,"tree_dp,9","dfs,8",,
Ostap and Tree,,735/E,7.5,2,,https://codeforces.com/problemset/problem/735/E,,"tree_dp,9","dfs,8",,
Coloring A Tree,,COLTREE,6,2,,https://www.codechef.com/problems/COLTREE,,"tree_dp,9","dfs,8",,
The Queue,,12257,7,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=3409,,"tree_dp,9","dfs,8",,
Expected diameter of a tree,,805/F,7.5,2,,https://codeforces.com/problemset/problem/805/F,,"tree_dp,9","dfs,8","basic_probability,8",
Timofey and a flat tree,,763/D,9,2,,https://codeforces.com/problemset/problem/763/D,,"tree_dp,9","dfs,8","hashing,8",
Perfect Service,,1218,6,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=3659,,"tree_dp,9","dfs,8",,
