problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4,
Ada and Cucumber,,ADAPICK,4,2,,https://www.spoj.com/problems/ADAPICK/,,"basic_geometry_knowledge,8","line_sweep,7",,,
Ada and Kohlrabi,,ADAKOHL,4,2,,https://www.spoj.com/problems/ADAKOHL/,,"basic_geometry_knowledge,8",,,,
Water Lily,,1199/B,3.5,2,,https://codeforces.com/contest/1199/problem/B,,"basic_geometry_knowledge,8","basic_math,7",,,
Journey to Jupiter,,gym/101991/problem/J,6.5,2,,https://codeforces.com/gym/101991/problem/J,,"basic_geometry_knowledge,8",,,,
Rise of the Robots,,gym/102006/problem/I,5.5,2,,https://codeforces.com/gym/102006/problem/I,,"basic_geometry_knowledge,8",,,,
Tree's a Crowd,,152,3,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=88,,"basic_geometry_knowledge,8",,,,
Intersection,,191,3,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=127,,"basic_geometry_knowledge,8",,,,
Intersecting Lines,,378,3,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=314,,"basic_geometry_knowledge,8",,,,
There's treasure everywhere!,,587,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=528,,"basic_geometry_knowledge,8",,,,
Water Falls,,833,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=774,,"basic_geometry_knowledge,8","segment_segment_intersection,8","basic_vector_geometry,8",,
Light and Transparencies,,837,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=778,,"basic_geometry_knowledge,8",,,,
Sunny Mountains,,920,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=861,,"basic_geometry_knowledge,8","segment_segment_intersection,8","basic_vector_geometry,8",,
Euclid,,1249,6,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=3690,,"basic_geometry_knowledge,8",,,,
