problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4,
Recover it!,,1176/D,4.5,,,https://codeforces.com/contest/1176/problem/D,,"divisor_theory,8","prime_number,8","dfs,8","basic_greedy_knowledge,8",
Topforces Strikes Back,,1183/F,6,,,https://codeforces.com/contest/1183/problem/F,,"divisor_theory,8","basic_math,8",,,
Kth Power Summation,,KPOWERSUM,5,,,https://www.spoj.com/problems/KPOWERSUM/,,"divisor_theory,8","modular_arithmetic,8","basic_math,8",,
The Millennium Prize Problems,,gym/101992/problem/D,6,,,https://codeforces.com/gym/101992/problem/D,,"divisor_theory,8","lcm,8","gcd,8","factorization,8",
GCD,,gym/101741/problem/F,7,,,https://codeforces.com/gym/101741/problem/F,,"divisor_theory,8","gcd,8",,,
Friendship,,FRNDAM,3.5,,,https://www.spoj.com/problems/FRNDAM/,,"divisor_theory,8",,,,
SUM and REPLACE,,920/F,6,,,https://codeforces.com/contest/920/problem/F,,"divisor_theory,8","segment_tree,8",,,
Petya and Divisors,,112/D,5,,,https://codeforces.com/contest/112/problem/D,,"divisor_theory,8","factorization,8","implementation,8",,
Modified GCD,,75/C,4,,,https://codeforces.com/contest/75/problem/C,,"divisor_theory,8","binary_search,8","gcd,8",,
Divisors,,EC_DIVS,6,,,https://www.spoj.com/problems/EC_DIVS/,,"divisor_theory,8",,,,
Chef and Keyboard,,CHEFKEY,5.5,,,https://www.codechef.com/problems/CHEFKEY,,"divisor_theory,8","factorization,8","implementation,8","basic_math,8",
Ultimate Weirdness of an Array,,671/C,8.5,,,https://codeforces.com/problemset/problem/671/C,,"divisor_theory,8","gcd,8",,,
Bamboo Partition,,831/F,5.5,,,https://codeforces.com/problemset/problem/831/F,,"divisor_theory,8",,,,
Winter is here,,839/D,6,,,https://codeforces.com/problemset/problem/839/D,,"divisor_theory,8","non_classical_dp,8","basic_permutation_combination,8","basic_math,8",
DIVSEQ,,DIVSEQ,5.5,,,https://www.spoj.com/problems/DIVSEQ/,,"divisor_theory,8","non_classical_dp,8",,,
LCM Sum,,LCMSUM,8.5,,,https://www.spoj.com/problems/LCMSUM/,,"divisor_theory,8","gcd,8","lcm,8",,
Forming Teams,,13085,6,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4983,,"divisor_theory,8","non_classical_dp,8","basic_permutation_combination,8",,
CODER FIRST PROBLEM,,CDRSANJ,7.5,,,https://www.spoj.com/problems/CDRSANJ/,,"divisor_theory,8","sieve,8","factorization,8","prime_number,8",
Shrinking Polygons,,12154,7,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3306,,"divisor_theory,8","basic_geometry_knowledge,8",,,
Baking Cakes with Grandma,,13058,7,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=4956,,"divisor_theory,8","basic_geometry_knowledge,8",,,
Factorial Division,,12934,5.5,,,https://onlinejudge.org/external/129/12934.pdf,,"divisor_theory,8","factorization,8","factorial,8",,
Number of Prime Strings,,PSTR,6,,,https://www.spoj.com/problems/PSTR/,,"divisor_theory,8","prime_number,8","sieve,8",,
Number With The Given Amount Of Divisors,,27/E,5.5,,,https://codeforces.com/problemset/problem/27/E,,"divisor_theory,8","non_classical_dp,8",,,
Colin and Ryan,,10880,5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=1821,,"divisor_theory,8",,,,
Disputed Claims,,12843,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=4708,,"divisor_theory,8",,,,
Coprime Subsequences,,803/F,5.5,,,https://codeforces.com/problemset/problem/803/F,,"divisor_theory,8","bit_mask,8","basic_permutation_combination,8",,
GCD Extreme,,GCDEX,6.5,,,https://www.spoj.com/problems/GCDEX/,,"divisor_theory,8","gcd,8",,,
Smallest Inverse Sum of Divisors,,INVDIV,7,,,https://www.spoj.com/problems/INVDIV/,,"divisor_theory,8","gcd,8","lcm,8",,
LCM Cardinality,,10892,6.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1833,,"divisor_theory,8","gcd,8","lcm,8",,
Yet another GCDSUM,,13083,6,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=4981,,"divisor_theory,8","gcd,8",,,
Mishka and Divisors,,703/E,7.5,,,https://codeforces.com/problemset/problem/703/E,,"divisor_theory,8","non_classical_dp,8",,,
Divisor Summation,,DIVSUM,5.5,,,https://www.spoj.com/problems/DIVSUM/en/,,"divisor_theory,8",,,,
Amazing Factor Sequence,,AFS,6,,,https://www.spoj.com/problems/AFS/,,"divisor_theory,8","prime_number,8",,,
Apoorv and Math problem,,SAS002,6,,,https://www.spoj.com/problems/SAS002/,,"divisor_theory,8","modular_arithmetic,8","factorization,8",,
Help Feluda with mathematical equations,,IITKWPCF,6,,,https://www.spoj.com/problems/IITKWPCF/,,"divisor_theory,8","prime_number,8","factorization,8",,
DPA Numbers I,,13185,6,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=5096,,"divisor_theory,8",,,,
DPA Numbers II,,13194,7,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=5105,,"divisor_theory,8",,,,
GCD LCM,,11388,6.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2383,,"divisor_theory,8","gcd,8","lcm,8",,
Best Friend,,12425,6,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3856,,"divisor_theory,8","gcd,8",,,
A New Function,,10830,7.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=1771,,"divisor_theory,8",,,,
H(n),,11526,6,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2521,,"divisor_theory,8",,,,
Ada and Homework,,ADAHW,6.5,,,https://www.spoj.com/problems/ADAHW/,,"factorization,8","sieve,8","gcd,8",,
Ada and Digits 2,,ADADIGIT,6,,,https://www.spoj.com/problems/ADADIGIT/,,"factorization,8",,,,
Prime Pesticide,,PRIMEP,6,,,https://www.spoj.com/problems/PRIMEP/,,"factorization,8","prime_number,8",,,
Prime Kebab Menu,,13067,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4965,,"factorization,8","prime_number,8",,,
Room Change,,CHGROOM,6,,,https://www.spoj.com/problems/CHGROOM/,,"factorization,8",,,,
Vasya's Function,,837/E,5.5,,,https://codeforces.com/problemset/problem/837/E,,"factorization,8","binary_search,8","implementation,8","basic_math,8",
Psycho34 (easy),,PSYCHOT,6,,,https://www.spoj.com/problems/PSYCHOT/,,"factorization,8",,,,
Factorial and divisorss,,FACTDIV,6,,,https://www.spoj.com/problems/FACTDIV/,,"factorization,8","factorial,8",,,
No Squares Numbers,,NOSQ,6,,,https://www.spoj.com/problems/NOSQ/,,"factorization,8","basic_math,8",,,
Factorial Modulo,,FCDC,6,,,https://www.spoj.com/problems/FCDC/,,"factorization,8","factorial,8","modular_arithmetic,8",,
N-Factorful,,NFACTOR,6,,,https://www.spoj.com/problems/NFACTOR/,,"factorization,8","prime_number,8",,,
Sum of divisors!,,ABA12D,6,,,https://www.spoj.com/problems/ABA12D/,,"factorization,8","divisor_theory,8",,,
Number of Prime Strings,,PSTR,6,,,https://www.spoj.com/problems/PSTR/,,"factorization,8","prime_number,8",,,
Distinct Primes,,AMR11E,6,,,https://www.spoj.com/problems/AMR11E/,,"factorization,8",,,,
Integer Factorization (20 digits),,FACT1,6,,,https://www.spoj.com/problems/FACT1/,,"factorization,8",,,,
Integer Factorization (29 digits),,FACT2,6,,,https://www.spoj.com/problems/FACT2/,,"factorization,8",,,,
Find Solutions,,12005,8,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3156,,"factorization,8",,,,
Reverse Assignment,,12062,7,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3214,,"factorization,8",,,,
Divisor Game,,11960,4,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=3111,,"factorization,8",,,,
Medium Factorization,,FACTCG2,4,,,https://www.spoj.com/problems/FACTCG2/,,"factorization,8","prime_number,8",,,
Integer Factorization (15 digits),,FACT0,5,,,https://www.spoj.com/problems/FACT0/,,"factorization,8",,,,
Soldier and Number Game,,546/D,5,,,https://codeforces.com/contest/546/problem/D,,"factorization,8","non_classical_dp,8","basic_math,8",,
Reducing Fractions,,222/C,6,,,https://codeforces.com/contest/222/problem/C,,"factorization,8","implementation,8","basic_math,8",,
Number of common divisors,,COMDIV,3,,,https://www.spoj.com/problems/COMDIV/,,"factorization,8",,,,
Sinha and Eggs,,SINEGGS,3,,,https://www.spoj.com/problems/SINEGGS/,,"factorization,8",,,,
Beautiful Factorial Game,,BDOI16B,4,,,https://www.spoj.com/problems/BDOI16B/,,"factorization,8","factorial,8",,,
HUGE GCD,,HG,4,,,https://www.spoj.com/problems/HG/,,"factorization,8","gcd,8",,,
Next Same-Factored,,11099,3.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2040,,"factorization,8",,,,
Tobby Primes,,13191,7,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=5102,,"factorization,8","pollard_rho,8",,,
Card Game Again,,818/E,4.5,,,https://codeforces.com/contest/818/problem/E,,"factorization,8","binary_search,8","two_pointer,8",,
Bamboo Partition,,831/F,6,,,https://codeforces.com/contest/831/problem/F,,"factorization,8",,,,
Winter is here,,839/D,4,,,https://codeforces.com/contest/839/problem/D,,"factorization,8","gcd,8",,,
