problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Ada and Mulberry,,ADABERRY,6.5,,,https://www.spoj.com/problems/ADABERRY/,,"segment_tree,8",,,
Serge and Dining Room,,1180/E,8.5,,,https://codeforces.com/contest/1180/problem/E,,"segment_tree,8","basic_math,7",,
Subarray Sorting,,1187/D,7,,,https://codeforces.com/contest/1187/problem/D,,"segment_tree,8",,,
Reflection,,gym/101992/problem/L,6,,,https://codeforces.com/gym/101992/problem/L,,"segment_tree,8",,,
Colonial Mansions,,gym/101962/problem/I,5,,,https://codeforces.com/gym/101962/problem/I,,"segment_tree,8",,,
Running a penitentiary,,gym/101879/problem/G,6,,,https://codeforces.com/gym/101879/problem/G,,"segment_tree,8",,,
Subsequence Sum Queries,,gym/101741/problem/J,7,,,https://codeforces.com/gym/101741/problem/J,,"segment_tree,8",,,
Bash and a Tough Math Puzzle,,914/D,5,,,https://codeforces.com/contest/914/problem/D,,"segment_tree,8",,,
Physical Education Lessons,,915/E,6.5,,,https://codeforces.com/contest/915/problem/E,,"segment_tree,8","implementation,8",,
Lucky Queries,,145/E,6,,,https://codeforces.com/contest/145/problem/E,,"segment_tree,8",,,
Ada and Greenflies,,ADAGF,6,,,https://www.spoj.com/problems/ADAGF/,,"segment_tree,8",,,
Ada and Trees,,ADATREE,6,,,https://www.spoj.com/problems/ADATREE/,,"segment_tree,8",,,
Mass Change Queries,,911/G,8,,,https://codeforces.com/contest/911/problem/G,,"segment_tree,8",,,
Eyes Closed,,895/E,6.5,,,https://codeforces.com/contest/895/problem/E,,"segment_tree,8","basic_probability,8",,
Circular RMQ,,52/C,6,,,https://codeforces.com/contest/52/problem/C,,"segment_tree,8",,,
Domino Principle,,56/E,6,,,https://codeforces.com/contest/56/problem/E,,"segment_tree,8",,,
Danil and a Part-time Job,,877/E,6,,,https://codeforces.com/contest/877/problem/E,,"segment_tree,8","bit_mask,8",,
Nikita and stack,,756/C,5.5,,,https://codeforces.com/problemset/problem/756/C,,"segment_tree,8",,,
Alyona and towers,,739/C,8,,,https://codeforces.com/contest/739/problem/C,,"segment_tree,8",,,
Sasha and Array,,718/C,8,,,https://codeforces.com/contest/718/problem/C,,"segment_tree,8",,,
New Year and Old Subsequence,,750/E,8.5,,,https://codeforces.com/contest/750/problem/E,,"segment_tree,8","non_classical_dp,8",,
Nikita and stack,,759/C,7.5,,,https://codeforces.com/contest/759/problem/C,,"segment_tree,8","binary_search,8",,
Timofey and our friends animals,,763/E,9,,,https://codeforces.com/contest/763/problem/E,,"segment_tree,8","union_find,8",,
Shoot and kill,,BGSHOOT,6,,,https://www.spoj.com/problems/BGSHOOT/,,"segment_tree,8",,,
Maximum Sum,,KGSS,5,,,https://www.spoj.com/problems/KGSS/,,"segment_tree,8",,,
Souvenirs,,765/F,9.5,,,https://codeforces.com/contest/765/problem/F,,"segment_tree,8",,,
Can you answer these queries I,,GSS1,6,,,https://www.spoj.com/problems/GSS1/,,"segment_tree,8",,,
K-Query Online,,KQUERYO,5.5,,,https://www.spoj.com/problems/KQUERYO/,,"segment_tree,8",,,
Yash And Trees,,633/G,8.5,,,https://codeforces.com/contest/633/problem/G,,"segment_tree,8","bit_mask,8","dfs,8",
Divisible Number Sum,,NAJ0001,7,,,https://www.spoj.com/problems/NAJ0001/,,"segment_tree,8",,,
Prime queries,,PRMQUER,5,,,https://www.spoj.com/problems/PRMQUER/,,"segment_tree,8",,,
Divisors,,EC_DIVS,5,,,https://www.spoj.com/problems/EC_DIVS/,,"segment_tree,8",,,
Impossible Boss,,DCEPC11I,5,,,https://www.spoj.com/problems/DCEPC11I/,,"segment_tree,8",,,
Queue (Pro),,QUE2,4,,,https://www.spoj.com/problems/QUE2/,,"segment_tree,8",,,
Anton and Permutation,,785/E,6,,,https://codeforces.com/contest/785/problem/E,,"segment_tree,8",,,
Legacy,,786/B,6.5,,,https://codeforces.com/contest/786/problem/B,,"segment_tree,8",,,
Tobby and Array,,13183,7.5,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=5094,,"segment_tree,8",,,
Lucky Array,,121/E,7,,,https://codeforces.com/contest/121/problem/E,,"segment_tree,8",,,
Periodic RMQ Problem,,803/G,6.5,,,https://codeforces.com/contest/803/problem/G,,"segment_tree,8",,,
Leha and security system,,794/F,8.5,,,https://codeforces.com/contest/794/problem/F,,"segment_tree,8",,,
Vladik and Entertaining Flags,,811/E,6.5,,,https://codeforces.com/contest/811/problem/E,,"segment_tree,8",,,
MEX Queries,,817/F,7,,,https://codeforces.com/contest/817/problem/F,,"segment_tree,8","binary_search,8",,
Karen and Coffee,,816/B,3,,,https://codeforces.com/contest/816/problem/B,,"segment_tree,8","implementation,8","binary_search,8",
The Bakery,,834/D,5.5,,,https://codeforces.com/contest/834/problem/D,,"segment_tree,8","non_classical_dp,8",,
MAXIMUM RARITY,,SBO,5,,,https://www.spoj.com/problems/SBO/,,"segment_tree,8",,,
Good Debugging,,GOODE,5,,,https://www.spoj.com/problems/GOODE/,,"segment_tree,8",,,
Counting Primes,,CNTPRIME,3,,,https://www.spoj.com/problems/CNTPRIME/,,"segment_tree,8",,,
Sum of Squares with Segment Tree,,SEGSQRSS,4.5,,,https://www.spoj.com/problems/SEGSQRSS/,,"segment_tree,8",,,
Monkey and apples,,MON2012,5.5,,,https://www.spoj.com/problems/MON2012/,,"segment_tree,8",,,
Nonnegative Partial Sums,,PARSUMS,4.5,,,https://www.spoj.com/problems/PARSUMS/,,"segment_tree,8",,,
Catapult that ball,,THRBL,4.5,,,https://www.spoj.com/problems/THRBL/,,"segment_tree,8","binary_search,8",,
Horrible Queries,,HORRIBLE,4,,,https://www.spoj.com/problems/HORRIBLE/,,"segment_tree,8",,,
Multiples of 3,,MULTQ3,4.5,,,https://www.spoj.com/problems/MULTQ3/,,"segment_tree,8",,,
Check 1324,,PERMPATT,4.5,,,https://www.spoj.com/problems/PERMPATT/,,"segment_tree,8",,,
The Untended Antiquity,,869/E,5.5,,,https://codeforces.com/contest/869/problem/E,,"segment_tree,8","hashing,8",,
Points,,19/D,8,,,https://codeforces.com/contest/19/problem/D,,"segment_tree,8",,,
