problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Ada and Terramorphing,,ADAPHOTO,6,2,,https://www.spoj.com/problems/ADAPHOTO/,,"suffix_array,8","basic_probability,8","hashing,8",
Ada and Substring,,ADASTRNG,6,2,,https://www.spoj.com/problems/ADASTRNG/,,"suffix_array,8",,,
You Are Given Some Strings...,,1202/E,7,2,,https://codeforces.com/contest/1202/problem/E,,"suffix_array,8",,,
Exciting Menus,,gym/101991/problem/E,7,2,,https://codeforces.com/gym/101991/problem/E,,"suffix_array,8",,,
String,,129/D,5.5,2,,https://codeforces.com/contest/129/problem/D,,"suffix_array,8","implementation,7",,
String,,123/D,6.5,2,,https://codeforces.com/contest/123/problem/D,,"suffix_array,8",,,
Substring Sorting,,13280,8,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=881&page=show_problem&problem=5204,,"suffix_array,8","binary_search,8",,
JARVIS and LCP ,,INSQ16F,7,2,,https://www.codechef.com/problems/INSQ16F,,"suffix_array,8",,,
DNA Sequencing,,760,7,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&category=9&page=show_problem&problem=701,,"suffix_array,8","longest_common_subsequence,8",,
The longest constant gene,,1227,7,2,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3668,,"suffix_array,8","longest_common_subsequence,8",,
Longest Common Substring,,LCS,7,2,,https://www.spoj.com/problems/LCS/en/,,"suffix_array,8","longest_common_subsequence,8",,
GATTACA,,11512,7,2,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2507,,"suffix_array,8",,,
Top 10,,1254,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3695,,"suffix_array,8",,,
File Recover,,12191,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3343,,"suffix_array,8",,,
Stammering Aliens,,12206,7,2,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3358,,"suffix_array,8",,,
Life Forms,,11107,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2048,,"suffix_array,8",,,
Exquisite Strings,,12974,7,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=4853,,"suffix_array,8",,,
Intellectual Property,,10526,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1467,,"suffix_array,8",,,
Anti-Rhyme Pairs,,12338,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3760,,"suffix_array,8",,,
Suffix Array,,SARRAY,5.5,2,,https://www.spoj.com/problems/SARRAY/,,"suffix_array,8",,,
Longest Common Substring II,,LCS2,8,2,,https://www.spoj.com/problems/LCS2/,,"suffix_array,8",,,
Fake News (hard),,802/I,7.5,2,,https://codeforces.com/contest/802/problem/I,,"suffix_array,8",,,
Longest Common Substring,,LONGCS,6,2,,https://www.spoj.com/problems/LONGCS/,,"suffix_array,8",,,
Lexicographical Substring Search,,SUBLEX,6,2,,https://www.spoj.com/problems/SUBLEX/,,"suffix_array,8",,,
Forbidden Indices,,873/F,7,2,,https://codeforces.com/contest/873/problem/F,,"suffix_array,8",,,
Tricky and Clever Password,,30/E,8,2,,https://codeforces.com/contest/30/problem/E,,"suffix_array,8","binary_search,8","hashing,8",
