problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Irrigation,,1181/D,6,2,,https://codeforces.com/contest/1181/problem/D,,"treap,8","binary_search,8","implementation,8","two_pointer,8"
The business man,,gym/101992/problem/M,5,,,https://codeforces.com/gym/101992/problem/M,,"treap,8",,,
Letters Removing,,899/F,6,,,https://codeforces.com/contest/899/problem/F,,"treap,8",,,
Tournament,,879/E,8,,,https://codeforces.com/contest/879/problem/E,,"treap,8",,,
Ada and Aphids,,ADAAPHID,7,,,https://www.spoj.com/problems/ADAAPHID/,,"treap,8",,,
Ada and Harvest,,ADACROP,6,,,https://www.spoj.com/problems/ADACROP/,,"treap,8",,,
Radio stations,,762/E,7,,,https://codeforces.com/contest/762/problem/E,,"treap,8","binary_search,8",,
Ghost Town,,COUNT1IT,6,,,https://www.spoj.com/problems/COUNT1IT/,,"treap,8",,,
Arrangement Validity,,IITWPC4D,5,,,https://www.spoj.com/problems/IITWPC4D/,,"treap,8","binary_search,8",,
All in One,,ALLIN1,5,,,https://www.spoj.com/problems/ALLIN1/,,"treap,8",,,
Dog Show,,847/D,6,,,https://codeforces.com/contest/847/problem/D,,"treap,8","basic_greedy_knowledge,8",,
Yet Another Array Queries Problem,,863/D,5,,,https://codeforces.com/contest/863/problem/D,,"treap,8","implementation,8",,
Line up,,KOILINE,5,,,https://www.spoj.com/problems/KOILINE/,,"treap,8","binary_search,8",,
Twist and whirl - want to cheat,,TWIST,6,,,https://www.spoj.com/problems/TWIST/,,"treap,8",,,
Mean of array,,MEANARR,6,,,https://www.spoj.com/problems/MEANARR/,,"treap,8",,,
