problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
x-Xor It!,,XORX,4.5,,,https://www.spoj.com/problems/XORX/,,"trie,8",,,
Xor-MST,,888/G,6.5,,,https://codeforces.com/contest/888/problem/G,,"trie,8","constructive_algorithm,8","bit_mask,7",
Vitya and Strange Lesson,,842/D,5.5,,,https://codeforces.com/contest/842/problem/D,,"trie,8","binary_search,7",,
Vasiliy's Multiset,,706/D,4,,,https://codeforces.com/problemset/problem/706/D,,"trie,8","binary_search,7","bit_mask,7",
Sonya and Queries,,714/C,3,,,https://codeforces.com/contest/714/problem/C,,"trie,8","implementation,5",,
SubXor,,SUBXOR,7,,,https://www.spoj.com/problems/SUBXOR/,,"trie,8",,,
Choosing The Commander,,817/E,7.5,,,https://codeforces.com/contest/817/problem/E,,"trie,8","bit_mask,7",,
Old Berland Language,,37/C,4.8,,,https://codeforces.com/contest/37/problem/C,,"trie,8","basic_greedy_knowledge,8",,
Ada and Indexing,,ADAINDEX,5,,,spoj.com/problems/ADAINDEX/,,"trie,8",,,
Know Your Statement,,gym/101628/problem/K,6,,,https://codeforces.com/gym/101628/problem/K,,"trie,8",,,
Many a Little makes a Mickle,,10860,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1801,,"trie,8",,,
Hay Points,,10295,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1236,,"trie,8",,,
Tobby and the quaseEquals strings,,13186,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=5097,,"trie,8",,,
Crazy Search,,1123,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3564,,"trie,8",,,
Shortest Names,,12506,5.5,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3950,,"trie,8",,,
Another Word Game,,11539,6,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2534,,"trie,8",,,
Fighting the Heat,,1142,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3583,,"trie,8",,,
Diccionário Portuñol,,12359,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=16&page=show_problem&problem=3781,,"trie,8",,,
Babelfish,,10282,5.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1223,,"trie,8",,,
"""strcmp()"" Anyone?",,11732,6,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2832,,"trie,8",,,
Hyper Prefix Sets,,11488,4.5,,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2483,,"trie,8",,,
Try to complete,,TRYCOMP,4.5,,,https://www.spoj.com/problems/TRYCOMP/,,"trie,8",,,
Many a Little makes a Mickle,,10860,4.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1801,,"trie,8","non_classical_dp,8",,
