problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,category_id_1,category_id_2,category_id_3
Perfect Permutation,233/A,2.5,,Codeforces,https://codeforces.com/problemset/problem/233/A,"implementation,7","basic_math,3",
Drinks,200/B,2,,Codeforces,https://codeforces.com/problemset/problem/200/B,"implementation,7","basic_math,3",
Cut Ribbon,189/A,3.5,,Codeforces,https://codeforces.com/problemset/problem/189/A,"implementation,7","ad_hoc,3",
Greg's Workout,255/A,2,,Codeforces,https://codeforces.com/problemset/problem/255/A,"implementation,10",,
Free Cash,237/A,3.5,,Codeforces,https://codeforces.com/problemset/problem/237/A,"implementation,10",,
Boy or Girl,236/A,1.5,,Codeforces,https://codeforces.com/problemset/problem/236/A,"implementation,7","ad_hoc,3",
Team,231/A,2,,Codeforces,https://codeforces.com/problemset/problem/231/A,"implementation,4","ad_hoc,6",
Event Planning,11559,2.5,,UVA,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2595,"implementation,10",,
Dreamoon and Stairs,476/A,2.5,,Codeforces,https://codeforces.com/problemset/problem/476/A,"implementation,8","ad_hoc,2",
Taymyr is calling you,764/A,1.5,,Codeforces,https://codeforces.com/problemset/problem/764/A,"implementation,7","basic_math,3",
Vladik and Courtesy,811/A,2,,Codeforces,https://codeforces.com/problemset/problem/811/A,"implementation,8","ad_hoc,2",
Flipping Game,327/A,3.5,,Codeforces,https://codeforces.com/problemset/problem/327/A,"implementation,10",,
Karen and Morning,816/A,3,,Codeforces,https://codeforces.com/problemset/problem/816/A,"implementation,8","ad_hoc,2",
Tavas and Nafas,535/A,2,,Codeforces,https://codeforces.com/problemset/problem/535/A,"implementation,7","ad_hoc,3",
Kefa and First Steps,580/A,2,,Codeforces,https://codeforces.com/problemset/problem/580/A,"implementation,10",,
Police Recruits,427/A,1.5,,Codeforces,https://codeforces.com/problemset/problem/427/A,"implementation,10",,
Summer Camp,672/A,1,,Codeforces,https://codeforces.com/problemset/problem/672/A,"implementation,10",,
Marks,152/A,2.5,,Codeforces,https://codeforces.com/problemset/problem/152/A,"implementation,10",,
Array,300/A,3.5,,Codeforces,https://codeforces.com/problemset/problem/300/A,"implementation,10",,
Contest Scoreboard,10258,3,,UVA,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1199,"implementation,10",,
Grading Students,grading,2.5,,Hackerrank,https://www.hackerrank.com/contests/world-codesprint-9/challenges/grading,"implementation,10",,
Breaking the Records,breaking-best-and-worst-records,4,,Hackerrank,https://www.hackerrank.com/contests/university-codesprint-2/challenges/breaking-best-and-worst-records,"implementation,10",,
LC-Display,706,6,,UVA,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=647,"implementation,10",,
