problem_id,problem_name,solved,accepted
1033,Generating Palindromes,1498 / 1518,2731 / 3937
1226,One Unit Machine,367 / 372,751 / 1136
1119,Pimp My Ride,879 / 891,1504 / 2277
1381,Scientific Experiment,70 / 71,95 / 164
1064,Throwing Dice,692 / 702,1155 / 1775
1032,Fast Bit Calculations,913 / 928,1695 / 2376
1298,"One Theorem, One Year",288 / 293,570 / 1007
1036,A Refining Company,568 / 578,925 / 1254
1025,The Specials Menu,1164 / 1185,1976 / 3862
1122,Digit Count,1197 / 1219,2313 / 3232
1283,Shelving Books,378 / 385,702 / 1379
1038,Race to 1 Again,1010 / 1029,3151 / 5342
1050,Marbles,629 / 641,1016 / 1870
1037,Agent 47,896 / 915,1600 / 2471
1159,Batman,873 / 893,1414 / 2369
1193,Dice (II),218 / 223,387 / 542
1352,Strange Summation,84 / 86,136 / 325
1327,Help the Winners,201 / 206,366 / 841
1047,Neighbor House,2066 / 2118,4055 / 6259
1027,A Dangerous Maze,1376 / 1412,3531 / 5733
1145,Dice (I),446 / 458,797 / 1391
1134,Be Efficient,497 / 511,910 / 1722
1173,The Vindictive Coach,279 / 287,484 / 933
1092,Lighted Panels,242 / 249,444 / 726
1326,Race,788 / 812,1331 / 2361
1169,Monkeys on Twin Tower,589 / 607,893 / 1339
1021,Painful Bases,930 / 959,1849 / 3842
1095,Arrange the Numbers,641 / 661,1205 / 2517
1360,Skyscraper,224 / 231,394 / 1073
1106,Gone Fishing,160 / 165,269 / 613
1180,Software Company,159 / 164,305 / 554
1342,Aladdin and the Magical Sticks,119 / 123,351 / 629
1140,How Many Zeroes?,876 / 906,1903 / 2892
1382,The Queue,371 / 384,743 / 1545
1344,Aladdin and the Game of Bracelets,114 / 118,198 / 385
1158,Anagram Division,368 / 381,634 / 1555
1302,Independent Attacking Zones,112 / 116,176 / 342
1105,Fi Binary Number,499 / 517,830 / 1231
1223,Testing Mailboxes,156 / 162,281 / 390
1194,Colored T-Shirts,155 / 161,293 / 596
1217,Neighbor House (II),728 / 757,1216 / 2412
1125,Divisible Group Sums,637 / 663,1241 / 3746
1031,Easy Game,965 / 1006,1869 / 3165
1287,Where to Run,185 / 193,541 / 1191
1170,Counting Perfect BST,562 / 587,1049 / 2995
1017,Brush (III),1271 / 1328,2060 / 4334
1044,Palindrome Partitioning,977 / 1021,1810 / 3479
1230,Placing Lampposts,147 / 154,202 / 516
1013,Love Calculator,1253 / 1313,2089 / 3870
1057,Collecting Gold,707 / 741,1255 / 3048
1084,Winter,362 / 380,617 / 1373
1365,ICPC Guards,58 / 61,79 / 166
1299,Fantasy Cricket,154 / 162,303 / 487
1004,Monkey Banana Problem,3221 / 3392,5950 / 12227
1030,Discovering Gold,1141 / 1202,3303 / 6501
1200,Thief,533 / 562,822 / 1736
1345,Aladdin and the Happy Garden,71 / 75,115 / 276
1246,Colorful Board,194 / 205,392 / 981
1252,Maintaining Communities,141 / 149,297 / 702
1231,Coin Change (I),1843 / 1950,4461 / 10751
1364,Expected Cards,154 / 163,470 / 813
1051,Good or Bad,761 / 806,1245 / 2662
1228,e-Friends,159 / 169,346 / 1059
1005,Rooks,2377 / 2528,4336 / 10214
1061,N Queen Again,246 / 262,516 / 845
1376,Tetromino,15 / 16,16 / 238
1421,Wavio Sequence,396 / 423,783 / 1776
1329,Playing Cards,73 / 78,119 / 285
1086,Jogging Trails,370 / 396,660 / 1578
1334,Genes in DNA,245 / 263,462 / 990
1060,nth Permutation,557 / 599,898 / 1828
1394,Disable the Wand,116 / 125,210 / 573
1011,Marriage Ceremonies,1861 / 2006,3461 / 6902
1201,A Perfect Murder,642 / 693,1172 / 2685
1422,Halloween Costumes,555 / 600,3345 / 6771
1312,Corrupted Tax Department,49 / 53,71 / 175
1071,Baker Vai,625 / 678,1174 / 2613
1068,Investigation,903 / 981,2296 / 6853
1264,Grouping Friends,149 / 162,328 / 835
1295,Lighting System Design,134 / 146,279 / 532
1257,Farthest Nodes in a Tree (II),1130 / 1235,2006 / 4761
1270,Tiles (II),118 / 129,243 / 558
1274,Beating the Dataset,104 / 115,457 / 886
1191,Bar Codes,436 / 486,700 / 2209
1079,Just another Robbery,625 / 697,2012 / 4685
1277,Looking for a Subsequence,169 / 190,296 / 785
1420,Subsequences forming Strings,167 / 188,320 / 876
1335,Planar Graph,54 / 61,106 / 352
1018,Brush (IV),742 / 841,1638 / 6169
1110,An Easy LCS,932 / 1064,1760 / 4941
1126,Building Twin Towers,295 / 338,550 / 1903
1233,Coin Change (III),627 / 729,1267 / 3192
1232,Coin Change (II),1380 / 1608,3041 / 9871
1157,LCS Revisited,311 / 367,641 / 1653
1310,Tiles (III),75 / 90,177 / 554
1205,Palindromic Numbers,438 / 531,1124 / 3163
1073,DNA Sequence,233 / 294,430 / 2349
1351,Ordered Flips,52 / 66,76 / 200
1147,Tug of War,286 / 371,619 / 2986
1316,A Wedding Party,250 / 326,490 / 2517
1415,Save the Trees,142 / 189,264 / 985
1416,Superb Sequence,44 / 60,88 / 482
1399,Politeness,48 / 68,106 / 606
1406,Assassin`s Creed,231 / 355,447 / 1775
1362,Electricity Connection,14 / 24,16 / 68
1431,The Party for the Rich,2 / 39,10 / 239
